time_s,min_nonlocal_distance_m,clearance_to_width_m
0,0.550036,0.250036
5,0.550057,0.250057
10,0.550015,0.250015
15,0.549988,0.249988
20,0.549977,0.249977
25,0.549981,0.249981
30,0.54998,0.24998
35,0.549979,0.249979
40,0.549992,0.249992
45,0.550019,0.250019
50,0.550038,0.250038
55,0.550008,0.250008
60,0.54999,0.24999
65,0.549983,0.249983
70,0.549987,0.249987
75,0.550003,0.250003
80,0.550011,0.250011
85,0.549987,0.249987
90,0.549974,0.249974
95,0.549975,0.249975
100,0.549968,0.249968
105,0.549977,0.249977
110,0.549996,0.249996
115,0.549974,0.249974
120,0.550004,0.250004
125,0.549989,0.249989
130,0.549979,0.249979
135,0.549983,0.249983
140,0.550001,0.250001
145,0.549988,0.249988
150,0.54998,0.24998
155,0.549985,0.249985
160,0.550004,0.250004
165,0.549995,0.249995
170,0.549975,0.249975
175,0.549971,0.249971
180,0.549976,0.249976
185,0.549977,0.249977
190,0.549981,0.249981
195,0.54998,0.24998
200,0.549979,0.249979
205,0.549967,0.249967
210,0.549967,0.249967
215,0.54999,0.24999
220,0.549976,0.249976
225,0.549961,0.249961
230,0.549972,0.249972
235,0.550008,0.250008
240,0.550064,0.250064
245,0.550017,0.250017
250,0.549987,0.249987
255,0.549974,0.249974
260,0.549975,0.249975
265,0.549968,0.249968
270,0.549977,0.249977
275,0.549966,0.249966
280,0.549974,0.249974
285,0.549951,0.249951
290,0.549931,0.249931
295,0.549951,0.249951
300,0.549953,0.249953
305,0.549959,0.249959
310,0.549997,0.249997
315,0.550066,0.250066
320,0.55,0.25
325,0.549948,0.249948
330,0.549938,0.249938
335,0.549932,0.249932
340,0.549928,0.249928
345,0.549951,0.249951
350,0.549969,0.249969
355,0.549955,0.249955
360,0.549911,0.249911
365,0.549915,0.249915
370,0.549967,0.249967
375,0.549967,0.249967
380,0.549911,0.249911
385,0.549864,0.249864
390,0.549906,0.249906
395,0.549941,0.249941
400,0.549883,0.249883
405,0.549902,0.249902
410,0.55,0.25
415,0.550176,0.250176
420,0.550157,0.250157
425,0.550076,0.250076
430,0.550018,0.250018
435,0.54997,0.24997
440,0.549736,0.249736
