candidate_head_speed_m_s,max_handle_speed_m_s,feasible
0.5,0.588164,True
0.55,0.646981,True
0.6,0.705797,True
0.65,0.764614,True
0.7,0.82343,True
0.75,0.882246,True
0.8,0.941063,True
0.85,0.999879,True
0.9,1.058696,True
0.95,1.117512,True
1.0,1.176329,True
1.05,1.235145,True
1.1,1.293962,True
1.15,1.352778,True
1.2,1.411594,True
1.25,1.470411,True
1.3,1.529227,True
1.35,1.588044,True
1.4,1.64686,True
1.45,1.705677,True
1.5,1.764493,True
1.55,1.823309,True
1.6,1.882126,True
1.65,1.940942,True
1.7,1.999759,True
1.75,2.058575,False
1.8,2.117392,False
1.85,2.176208,False
1.9,2.235024,False
1.95,2.293841,False
2.0,2.352657,False
2.05,2.411474,False
2.1,2.47029,False
2.15,2.529107,False
2.2,2.587923,False
