n,p0_expected_defects,reject_tail_at_floor_10pct,accept_tail_at_floor_10pct
10,1.0,0.26390107,0.73609893
20,2.0,0.32307319,0.67692681
30,3.0,0.35256083,0.64743917
40,4.0,0.3709823,0.6290177
50,5.0,0.38387699,0.61612301
60,6.0,0.3935486,0.6064514
70,7.0,0.4011483,0.5988517
80,8.0,0.4073235,0.5926765
90,9.0,0.41246984,0.58753016
100,10.0,0.41684449,0.58315551
110,11.0,0.42062278,0.57937722
120,12.0,0.42392893,0.57607107
130,13.0,0.42685371,0.57314629
140,14.0,0.42946522,0.57053478
150,15.0,0.43181564,0.56818436
160,16.0,0.43394577,0.56605423
170,17.0,0.435888,0.564112
180,18.0,0.43766841,0.56233159
190,19.0,0.4393083,0.5606917
200,20.0,0.44082522,0.55917478
210,21.0,0.44223381,0.55776619
220,22.0,0.44354638,0.55645362
230,23.0,0.44477337,0.55522663
240,24.0,0.44592369,0.55407631
250,25.0,0.447005,0.552995
260,26.0,0.44802394,0.55197606
270,27.0,0.44898628,0.55101372
