inspect_part1,inspect_part2,inspect_product,disassemble_defective_product,market_good_probability,defective_to_market_probability,expected_profit,expected_revenue,expected_direct_cost,expected_replacement_loss,expected_salvage_net,case,rank
False,False,False,True,0.729,0.271,28.50677,56.0,28.0,1.626,2.13277,1,1
False,False,False,False,0.729,0.271,26.374,56.0,28.0,1.626,0.0,1,2
True,False,False,True,0.81,0.19,25.738033,56.0,30.666667,1.14,1.5447,1,3
True,False,False,False,0.81,0.19,24.193333,56.0,30.666667,1.14,0.0,1,4
False,True,False,True,0.81,0.19,23.244267,56.0,33.333333,1.14,1.7176,1,5
False,True,False,False,0.81,0.19,21.526667,56.0,33.333333,1.14,0.0,1,6
True,True,False,True,0.9,0.1,20.33,56.0,36.0,0.6,0.93,1,7
True,True,False,False,0.9,0.1,19.4,56.0,36.0,0.6,0.0,1,8
True,False,True,True,1.0,0.0,13.238033,45.36,33.666667,0.0,1.5447,1,9
True,True,True,True,1.0,0.0,12.33,50.4,39.0,0.0,0.93,1,10
False,False,True,True,1.0,0.0,11.95677,40.824,31.0,0.0,2.13277,1,11
True,False,True,False,1.0,0.0,11.693333,45.36,33.666667,0.0,0.0,1,12
True,True,True,False,1.0,0.0,11.4,50.4,39.0,0.0,0.0,1,13
False,True,True,True,1.0,0.0,10.744267,45.36,36.333333,0.0,1.7176,1,14
False,False,True,False,1.0,0.0,9.824,40.824,31.0,0.0,0.0,1,15
False,True,True,False,1.0,0.0,9.026667,45.36,36.333333,0.0,0.0,1,16
False,False,False,True,0.512,0.488,28.21472,56.0,28.0,2.928,3.14272,2,1
False,False,False,False,0.512,0.488,25.072,56.0,28.0,2.928,0.0,2,2
True,False,False,True,0.64,0.36,24.8456,56.0,31.5,2.16,2.5056,2,3
True,False,False,False,0.64,0.36,22.34,56.0,31.5,2.16,0.0,2,4
False,True,False,True,0.64,0.36,20.7508,56.0,36.25,2.16,3.1608,2,5
False,True,False,False,0.64,0.36,17.59,56.0,36.25,2.16,0.0,2,6
True,True,False,True,0.8,0.2,16.91,56.0,39.75,1.2,1.86,2,7
True,True,False,False,0.8,0.2,15.05,56.0,39.75,1.2,0.0,2,8
True,True,True,True,1.0,0.0,3.91,44.8,42.75,0.0,1.86,2,9
True,False,True,True,1.0,0.0,3.8456,35.84,34.5,0.0,2.5056,2,10
True,True,True,False,1.0,0.0,2.05,44.8,42.75,0.0,0.0,2,11
