part_inspection_bits,semi_inspection_bits,final_inspection,semi_disassembly_bits,final_disassembly,final_good_probability,defective_to_market_probability,expected_profit,expected_direct_cost,expected_replacement_loss,expected_salvage_net,rank
00000000,000,False,000,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,1
00000000,000,False,100,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,2
00000000,000,False,010,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,3
00000000,000,False,110,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,4
00000000,000,False,001,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,5
00000000,000,False,101,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,6
00000000,000,False,011,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,7
00000000,000,False,111,True,0.28243,0.71757,84.195055,96.0,28.702819,8.897874,8
10000000,000,False,000,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,9
00010000,000,False,000,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,10
10000000,000,False,100,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,11
00010000,000,False,100,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,12
10000000,000,False,010,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,13
00010000,000,False,010,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,14
10000000,000,False,110,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,15
00010000,000,False,110,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,16
10000000,000,False,001,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,17
00010000,000,False,001,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,18
10000000,000,False,101,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,19
00010000,000,False,101,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,20
10000000,000,False,011,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,21
00010000,000,False,011,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,22
10000000,000,False,111,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,23
00010000,000,False,111,True,0.313811,0.686189,83.727839,97.333333,27.447576,8.508749,24
10010000,000,False,000,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,25
10010000,000,False,100,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,26
10010000,000,False,010,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,27
10010000,000,False,110,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,28
10010000,000,False,001,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,29
10010000,000,False,101,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,30
10010000,000,False,011,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,31
10010000,000,False,111,True,0.348678,0.651322,83.356858,98.666667,26.052862,8.076387,32
01000000,000,False,000,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,33
00001000,000,False,000,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,34
00000010,000,False,000,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,35
01000000,000,False,100,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,36
00001000,000,False,100,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,37
00000010,000,False,100,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,38
01000000,000,False,010,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,39
00001000,000,False,010,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,40
00000010,000,False,010,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,41
01000000,000,False,110,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,42
00001000,000,False,110,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,43
00000010,000,False,110,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,44
01000000,000,False,001,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,45
00001000,000,False,001,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,46
00000010,000,False,001,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,47
01000000,000,False,101,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,48
00001000,000,False,101,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,49
00000010,000,False,101,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,50
01000000,000,False,011,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,51
00001000,000,False,011,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,52
00000010,000,False,011,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,53
01000000,000,False,111,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,54
00001000,000,False,111,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,55
00000010,000,False,111,True,0.313811,0.686189,83.061172,98.0,27.447576,8.508749,56
11000000,000,False,000,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,57
01010000,000,False,000,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,58
10001000,000,False,000,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,59
00011000,000,False,000,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,60
10000010,000,False,000,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,61
00010010,000,False,000,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,62
11000000,000,False,100,True,0.348678,0.651322,82.690192,99.333333,26.052862,8.076387,63
