source,inspect_part1,inspect_part2,inspect_product,disassemble_defective_product,market_good_probability,defective_to_market_probability,expected_profit,expected_revenue,expected_direct_cost,expected_replacement_loss,expected_salvage_net,case,rank,part_inspection_bits,semi_inspection_bits,final_inspection,semi_disassembly_bits,final_disassembly,final_good_probability
table1,False,False,False,True,0.628058,0.371942,28.463528,56.0,28.0,2.231649,2.695177,1,1,,,,,,
table1,False,False,False,False,0.628058,0.371942,25.768351,56.0,28.0,2.231649,0.0,1,2,,,,,,
table1,True,False,False,True,0.733387,0.266613,25.425587,56.0,31.006233,1.599676,2.031495,1,3,,,,,,
table1,True,False,False,False,0.733387,0.266613,23.394091,56.0,31.006233,1.599676,0.0,1,4,,,,,,
table1,False,True,False,True,0.733387,0.266613,22.258451,56.0,34.521814,1.599676,2.379942,1,5,,,,,,
table1,False,True,False,False,0.733387,0.266613,19.878509,56.0,34.521814,1.599676,0.0,1,6,,,,,,
table1,True,True,False,True,0.85638,0.14362,18.945898,56.0,37.528047,0.861718,1.335663,1,7,,,,,,
table1,True,True,False,False,0.85638,0.14362,17.610235,56.0,37.528047,0.861718,0.0,1,8,,,,,,
table1,True,False,True,True,1.0,0.0,9.094952,41.069689,34.006233,0.0,2.031495,1,9,,,,,,
table1,True,True,True,True,1.0,0.0,8.764915,47.9573,40.528047,0.0,1.335663,1,10,,,,,,
table1,True,True,True,False,1.0,0.0,7.429253,47.9573,40.528047,0.0,0.0,1,11,,,,,,
table1,True,False,True,False,1.0,0.0,7.063456,41.069689,34.006233,0.0,0.0,1,12,,,,,,
table1,False,False,True,True,1.0,0.0,6.866452,35.171275,31.0,0.0,2.695177,1,13,,,,,,
table1,False,True,True,True,1.0,0.0,5.927817,41.069689,37.521814,0.0,2.379942,1,14,,,,,,
table1,False,False,True,False,1.0,0.0,4.171275,35.171275,31.0,0.0,0.0,1,15,,,,,,
table1,False,True,True,False,1.0,0.0,3.547875,41.069689,37.521814,0.0,0.0,1,16,,,,,,
table1,False,False,False,True,0.408255,0.591745,27.768225,56.0,28.0,3.55047,3.318694,2,1,,,,,,
table1,False,False,False,False,0.408255,0.591745,24.44953,56.0,28.0,3.55047,0.0,2,2,,,,,,
table1,True,False,False,True,0.550327,0.449673,24.037706,56.0,32.087992,2.698036,2.823735,2,3,,,,,,
table1,True,False,False,False,0.550327,0.449673,21.213971,56.0,32.087992,2.698036,0.0,2,4,,,,,,
table1,False,True,False,True,0.550327,0.449673,18.87412,56.0,38.307973,2.698036,3.880129,2,5,,,,,,
table1,False,True,False,False,0.550327,0.449673,14.993991,56.0,38.307973,2.698036,0.0,2,6,,,,,,
table1,True,True,False,True,0.74184,0.25816,14.455961,56.0,42.395965,1.548957,2.400884,2,7,,,,,,
table1,True,True,False,False,0.74184,0.25816,12.055077,56.0,42.395965,1.548957,0.0,2,8,,,,,,
table1,True,False,True,True,1.0,0.0,-1.44593,30.818328,35.087992,0.0,2.823735,2,9,,,,,,
table1,True,True,True,True,1.0,0.0,-1.452016,41.543066,45.395965,0.0,2.400884,2,10,,,,,,
table1,True,True,True,False,1.0,0.0,-3.852899,41.543066,45.395965,0.0,0.0,2,11,,,,,,
table1,True,False,True,False,1.0,0.0,-4.269665,30.818328,35.087992,0.0,0.0,2,12,,,,,,
table1,False,False,True,True,1.0,0.0,-4.819023,22.862283,31.0,0.0,3.318694,2,13,,,,,,
table1,False,True,True,True,1.0,0.0,-6.609516,30.818328,41.307973,0.0,3.880129,2,14,,,,,,
table1,False,False,True,False,1.0,0.0,-8.137717,22.862283,31.0,0.0,0.0,2,15,,,,,,
table1,False,True,True,False,1.0,0.0,-10.489645,30.818328,41.307973,0.0,0.0,2,16,,,,,,
table1,False,False,False,True,0.628058,0.371942,19.536931,56.0,28.0,11.158246,2.695177,3,1,,,,,,
table1,True,False,False,True,0.733387,0.266613,19.026882,56.0,31.006233,7.998381,2.031495,3,2,,,,,,
table1,True,False,False,False,0.733387,0.266613,16.995386,56.0,31.006233,7.998381,0.0,3,3,,,,,,
table1,False,False,False,False,0.628058,0.371942,16.841754,56.0,28.0,11.158246,0.0,3,4,,,,,,
table1,False,True,False,True,0.733387,0.266613,15.859747,56.0,34.521814,7.998381,2.379942,3,5,,,,,,
table1,True,True,False,True,0.85638,0.14362,15.499026,56.0,37.528047,4.308589,1.335663,3,6,,,,,,
table1,True,True,False,False,0.85638,0.14362,14.163363,56.0,37.528047,4.308589,0.0,3,7,,,,,,
table1,False,True,False,False,0.733387,0.266613,13.479805,56.0,34.521814,7.998381,0.0,3,8,,,,,,
table1,True,False,True,True,1.0,0.0,9.094952,41.069689,34.006233,0.0,2.031495,3,9,,,,,,
table1,True,True,True,True,1.0,0.0,8.764915,47.9573,40.528047,0.0,1.335663,3,10,,,,,,
table1,True,True,True,False,1.0,0.0,7.429253,47.9573,40.528047,0.0,0.0,3,11,,,,,,
table1,True,False,True,False,1.0,0.0,7.063456,41.069689,34.006233,0.0,0.0,3,12,,,,,,
table1,False,False,True,True,1.0,0.0,6.866452,35.171275,31.0,0.0,2.695177,3,13,,,,,,
table1,False,True,True,True,1.0,0.0,5.927817,41.069689,37.521814,0.0,2.379942,3,14,,,,,,
table1,False,False,True,False,1.0,0.0,4.171275,35.171275,31.0,0.0,0.0,3,15,,,,,,
table1,False,True,True,False,1.0,0.0,3.547875,41.069689,37.521814,0.0,0.0,3,16,,,,,,
table1,True,False,False,True,0.550327,0.449673,14.59356,56.0,30.739994,13.490182,2.823735,4,1,,,,,,
table1,False,False,False,True,0.408255,0.591745,13.566346,56.0,28.0,17.752349,3.318694,4,2,,,,,,
table1,True,True,False,True,0.74184,0.25816,12.304128,56.0,38.351969,7.744786,2.400884,4,3,,,,,,
table1,True,False,False,False,0.550327,0.449673,11.769825,56.0,30.739994,13.490182,0.0,4,4,,,,,,
table1,False,True,False,True,0.550327,0.449673,10.777972,56.0,35.611976,13.490182,3.880129,4,5,,,,,,
table1,False,False,False,False,0.408255,0.591745,10.247651,56.0,28.0,17.752349,0.0,4,6,,,,,,
table1,True,True,False,False,0.74184,0.25816,9.903245,56.0,38.351969,7.744786,0.0,4,7,,,,,,
table1,False,True,False,False,0.550327,0.449673,6.897843,56.0,35.611976,13.490182,0.0,4,8,,,,,,
table1,True,True,True,True,1.0,0.0,3.591981,41.543066,40.351969,0.0,2.400884,4,9,,,,,,
table1,True,True,True,False,1.0,0.0,1.191097,41.543066,40.351969,0.0,0.0,4,10,,,,,,
table1,True,False,True,True,1.0,0.0,0.902069,30.818328,32.739994,0.0,2.823735,4,11,,,,,,
table1,True,False,True,False,1.0,0.0,-1.921666,30.818328,32.739994,0.0,0.0,4,12,,,,,,
table1,False,True,True,True,1.0,0.0,-2.913519,30.818328,37.611976,0.0,3.880129,4,13,,,,,,
table1,False,False,True,True,1.0,0.0,-3.819023,22.862283,30.0,0.0,3.318694,4,14,,,,,,
table1,False,True,True,False,1.0,0.0,-6.793648,30.818328,37.611976,0.0,0.0,4,15,,,,,,
table1,False,False,True,False,1.0,0.0,-7.137717,22.862283,30.0,0.0,0.0,4,16,,,,,,
table1,False,False,False,True,0.544056,0.455944,26.133423,56.0,28.0,4.559436,2.692859,5,1,,,,,,
table1,False,False,False,False,0.544056,0.455944,23.440564,56.0,28.0,4.559436,0.0,5,2,,,,,,
table1,False,True,False,True,0.733387,0.266613,20.101839,56.0,35.611976,2.666127,2.379942,5,3,,,,,,
table1,False,True,False,False,0.733387,0.266613,17.721897,56.0,35.611976,2.666127,0.0,5,4,,,,,,
table1,True,False,False,True,0.635298,0.364702,16.630672,56.0,38.012465,3.647024,2.290161,5,5,,,,,,
table1,True,False,False,False,0.635298,0.364702,14.340511,56.0,38.012465,3.647024,0.0,5,6,,,,,,
table1,True,True,False,True,0.85638,0.14362,10.275025,56.0,45.624441,1.436196,1.335663,5,7,,,,,,
table1,True,True,False,False,0.85638,0.14362,8.939362,56.0,45.624441,1.436196,0.0,5,8,,,,,,
table1,False,True,True,True,1.0,0.0,5.837655,41.069689,37.611976,0.0,2.379942,5,9,,,,,,
table1,False,True,True,False,1.0,0.0,3.457713,41.069689,37.611976,0.0,0.0,5,10,,,,,,
table1,False,False,True,True,1.0,0.0,3.160016,30.467157,30.0,0.0,2.692859,5,11,,,,,,
table1,True,True,True,True,1.0,0.0,1.668521,47.9573,47.624441,0.0,1.335663,5,12,,,,,,
table1,False,False,True,False,1.0,0.0,0.467157,30.467157,30.0,0.0,0.0,5,13,,,,,,
table1,True,True,True,False,1.0,0.0,0.332859,47.9573,47.624441,0.0,0.0,5,14,,,,,,
table1,True,False,True,True,1.0,0.0,-2.145639,35.576666,40.012465,0.0,2.290161,5,15,,,,,,
table1,True,False,True,False,1.0,0.0,-4.4358,35.576666,40.012465,0.0,0.0,5,16,,,,,,
table1,False,False,False,False,0.774407,0.225593,25.744073,56.0,28.0,2.255927,0.0,6,1,,,,,,
table1,True,False,False,False,0.843295,0.156705,23.899218,56.0,30.533734,1.567048,0.0,6,2,,,,,,
table1,False,True,False,False,0.843295,0.156705,21.564884,56.0,32.868068,1.567048,0.0,6,3,,,,,,
table1,True,True,False,False,0.918311,0.081689,19.781309,56.0,35.401802,0.816889,0.0,6,4,,,,,,
table1,True,False,False,True,0.843295,0.156705,19.722133,56.0,30.533734,1.567048,-4.177086,6,5,,,,,,
table1,False,False,False,True,0.774407,0.225593,19.682814,56.0,28.0,2.255927,-6.061259,6,6,,,,,,
table1,True,True,False,True,0.918311,0.081689,17.681903,56.0,35.401802,0.816889,-2.099406,6,7,,,,,,
table1,False,True,False,True,0.843295,0.156705,17.504288,56.0,32.868068,1.567048,-4.060596,6,8,,,,,,
table1,True,False,True,False,1.0,0.0,13.690797,47.224531,33.533734,0.0,0.0,6,9,,,,,,
table1,True,True,True,False,1.0,0.0,13.023617,51.425419,38.401802,0.0,0.0,6,10,,,,,,
table1,False,False,True,False,1.0,0.0,12.366809,43.366809,31.0,0.0,0.0,6,11,,,,,,
table1,False,True,True,False,1.0,0.0,11.356463,47.224531,35.868068,0.0,0.0,6,12,,,,,,
table1,True,True,True,True,1.0,0.0,10.924211,51.425419,38.401802,0.0,-2.099406,6,13,,,,,,
table1,True,False,True,True,1.0,0.0,9.513712,47.224531,33.533734,0.0,-4.177086,6,14,,,,,,
table1,False,True,True,True,1.0,0.0,7.295867,47.224531,35.868068,0.0,-4.060596,6,15,,,,,,
table1,False,False,True,True,1.0,0.0,6.305551,43.366809,31.0,0.0,-6.061259,6,16,,,,,,
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,1,00000000,000,False,000,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,2,00000000,000,False,100,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,3,00000000,000,False,010,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,4,00000000,000,False,110,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,5,00000000,000,False,001,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,6,00000000,000,False,101,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,7,00000000,000,False,011,True,0.155597
table2,,,,,,0.844403,80.694468,,96.0,33.776133,10.470601,,8,00000000,000,False,111,True,0.155597
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,9,10000000,000,False,000,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,10,00010000,000,False,000,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,11,10000000,000,False,100,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,12,00010000,000,False,100,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,13,10000000,000,False,010,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,14,00010000,000,False,010,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,15,10000000,000,False,110,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,16,00010000,000,False,110,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,17,10000000,000,False,001,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,18,00010000,000,False,001,True,0.181691
table2,,,,,,0.818309,79.911558,,97.503116,32.732356,10.14703,,19,10000000,000,False,101,True,0.181691
