case,year,profit_yuan,planted_area_mu,production_jin,surplus_jin,legume_area_mu
waste,2024,4413495.75,1334.0,1498295.0,531170.0,812.2
waste,2025,5520811.25,1334.0,1707990.0,510305.0,353.8
waste,2026,5478363.25,1334.0,1700725.0,512670.0,372.2
waste,2027,5162497.75,1334.0,1553195.0,422490.0,543.0
waste,2028,5531683.75,1334.0,1693975.0,489455.0,413.8
waste,2029,5475875.75,1334.0,1699875.0,513595.0,372.2
waste,2030,5162497.75,1334.0,1553195.0,422490.0,543.0
half_price,2024,7007707.5,1334.0,1840555.0,1100950.0,812.2
half_price,2025,9997076.25,1334.0,2801375.0,1889675.0,260.0
half_price,2026,9326353.12,1334.0,2512650.0,1562445.0,365.8
half_price,2027,7122878.75,1334.0,1879870.0,1063805.0,659.2
half_price,2028,9996286.25,1334.0,2775235.0,1865825.0,280.0
half_price,2029,9329146.88,1334.0,2511830.0,1561045.0,365.8
half_price,2030,7139453.75,1334.0,1875490.0,1054305.0,639.2
