year,season,crop_id,crop_name,crop_type,area_mu,yield_jin_per_mu,production_jin,expected_sales_cap_jin,normal_sales_jin,surplus_jin,price_yuan_per_jin,cost_yuan,profit_yuan,plot,land_type
2024,单季,2,黑豆,粮食（豆类）,86.0,475.0,40850.0,21850.0,21850.0,19000.0,7.5,36120.0,199005.0,B6,梯田
2024,单季,3,红豆,粮食（豆类）,80.0,400.0,32000.0,22400.0,22400.0,9600.0,8.25,29400.0,195000.0,A1,平旱地
2024,单季,9,高粱,粮食,72.0,630.0,45360.0,30000.0,30000.0,15360.0,6.0,30240.0,195840.0,A4,平旱地
2024,单季,7,玉米,粮食,68.0,1000.0,68000.0,142706.25,68000.0,0.0,3.0,35700.0,168300.0,A5,平旱地
2024,单季,4,绿豆,粮食（豆类）,60.0,330.0,19800.0,33040.0,19800.0,0.0,7.0,22050.0,116550.0,B1,梯田
2024,单季,10,黍子,粮食,60.0,500.0,30000.0,12500.0,12500.0,17500.0,7.5,22680.0,136695.0,B11,梯田
2024,单季,4,绿豆,粮食（豆类）,55.0,350.0,19250.0,33040.0,13240.0,6010.0,7.0,20212.5,93502.5,A2,平旱地
2024,单季,5,爬豆,粮食（豆类）,55.0,415.0,22825.0,9875.0,9875.0,12950.0,6.75,20212.5,90150.0,A6,平旱地
2024,单季,2,黑豆,粮食（豆类）,55.0,475.0,26125.0,21850.0,0.0,26125.0,7.5,23100.0,74868.75,B7,梯田
2024,单季,2,黑豆,粮食（豆类）,50.0,475.0,23750.0,21850.0,0.0,23750.0,7.5,21000.0,68062.5,B9,梯田
2024,单季,13,红薯,粮食,46.0,2100.0,96600.0,36000.0,36000.0,60600.0,3.25,96600.0,118875.0,B2,梯田
2024,单季,2,黑豆,粮食（豆类）,45.0,475.0,21375.0,21850.0,0.0,21375.0,7.5,18900.0,61256.25,B12,梯田
2024,单季,2,黑豆,粮食（豆类）,44.0,475.0,20900.0,21850.0,0.0,20900.0,7.5,18480.0,59895.0,B8,梯田
