bomb_x_m,bomb_y_m,detonation_depth_m,hit_probability
0.0,0.0,105.0,0.01281738
0.0,0.0,106.5,0.01434326
0.0,0.0,108.0,0.0158844
0.0,0.0,109.5,0.01742554
0.0,0.0,111.0,0.01913452
0.0,0.0,112.5,0.02061462
0.0,0.0,114.0,0.02218628
0.0,0.0,115.5,0.02381897
0.0,0.0,117.0,0.02534485
0.0,0.0,118.5,0.02694702
0.0,0.0,120.0,0.02865601
0.0,0.0,121.5,0.03016663
0.0,0.0,123.0,0.03190613
0.0,0.0,124.5,0.0335083
0.0,0.0,126.0,0.03501892
0.0,0.0,127.5,0.03662109
0.0,0.0,129.0,0.03823853
0.0,0.0,130.5,0.03973389
0.0,0.0,132.0,0.04145813
0.0,0.0,133.5,0.04289246
0.0,0.0,135.0,0.04446411
0.0,0.0,136.5,0.04598999
0.0,0.0,138.0,0.04725647
0.0,0.0,139.5,0.0486145
0.0,0.0,141.0,0.04995728
0.0,0.0,142.5,0.05137634
0.0,0.0,144.0,0.05244446
0.0,0.0,145.5,0.05360413
0.0,0.0,147.0,0.05476379
0.0,0.0,148.5,0.05561829
0.0,0.0,150.0,0.05628967
0.0,0.0,151.5,0.05680847
0.0,0.0,153.0,0.05722046
0.0,0.0,154.5,0.05741882
0.0,0.0,156.0,0.05744934
0.0,0.0,157.5,0.05758667
0.0,0.0,159.0,0.05773926
0.0,0.0,160.5,0.0574646
0.0,0.0,162.0,0.05725098
0.0,0.0,163.5,0.05734253
0.0,0.0,165.0,0.05697632
0.0,0.0,166.5,0.05659485
0.0,0.0,168.0,0.05638123
0.0,0.0,169.5,0.05612183
0.0,0.0,171.0,0.0556488
0.0,0.0,172.5,0.0552063
0.0,0.0,174.0,0.0546875
0.0,0.0,175.5,0.05419922
0.0,0.0,177.0,0.05358887
0.0,0.0,178.5,0.05299377
0.0,0.0,180.0,0.05235291
0.0,0.0,181.5,0.05154419
0.0,0.0,183.0,0.05091858
0.0,0.0,184.5,0.05021667
0.0,0.0,186.0,0.04943848
0.0,0.0,187.5,0.04873657
0.0,0.0,189.0,0.04798889
0.0,0.0,190.5,0.04718018
0.0,0.0,192.0,0.0464325
0.0,0.0,193.5,0.04559326
0.0,0.0,195.0,0.04484558
0.0,0.0,196.5,0.04391479
0.0,0.0,198.0,0.04310608
0.0,0.0,199.5,0.04241943
0.0,0.0,201.0,0.04161072
0.0,0.0,202.5,0.04081726
0.0,0.0,204.0,0.04017639
0.0,0.0,205.5,0.03941345
0.0,0.0,207.0,0.03846741
0.0,0.0,208.5,0.03770447
0.0,0.0,210.0,0.03712463
0.0,0.0,211.5,0.03630066
0.0,0.0,213.0,0.03562927
0.0,0.0,214.5,0.03500366
0.0,0.0,216.0,0.03437805
0.0,0.0,217.5,0.03356934
0.0,0.0,219.0,0.03289795
0.0,0.0,220.5,0.03230286
0.0,0.0,222.0,0.03184509
0.0,0.0,223.5,0.03123474
0.0,0.0,225.0,0.03071594
0.0,0.0,226.5,0.03016663
0.0,0.0,228.0,0.02961731
0.0,0.0,229.5,0.02912903
0.0,0.0,231.0,0.02868652
0.0,0.0,232.5,0.02816772
0.0,0.0,234.0,0.02783203
0.0,0.0,235.5,0.02735901
0.0,0.0,237.0,0.02702332
0.0,0.0,238.5,0.02659607
0.0,0.0,240.0,0.0262146
0.0,0.0,241.5,0.02593994
0.0,0.0,243.0,0.02558899
0.0,0.0,244.5,0.02534485
0.0,0.0,246.0,0.02493286
0.0,0.0,247.5,0.02461243
0.0,0.0,249.0,0.02445984
0.0,0.0,250.5,0.02416992
0.0,0.0,252.0,0.02404785
0.0,0.0,253.5,0.02386475
0.0,0.0,255.0,0.02368164
0.0,0.0,256.5,0.02349854
0.0,0.0,258.0,0.02337646
0.0,0.0,259.5,0.0231781
0.0,0.0,261.0,0.02304077
