array_spacing_m,detonation_depth_m,hit_probability
20.0,115.0,0.05096436
20.0,120.0,0.06201172
20.0,125.0,0.07336426
20.0,130.0,0.08441162
20.0,135.0,0.09490967
20.0,140.0,0.10424805
20.0,145.0,0.11328125
20.0,150.0,0.12060547
20.0,155.0,0.12420654
20.0,160.0,0.12658691
20.0,165.0,0.12744141
20.0,170.0,0.12780762
20.0,175.0,0.1270752
20.0,180.0,0.12573242
20.0,185.0,0.12365723
20.0,190.0,0.12091064
20.0,195.0,0.11846924
20.0,200.0,0.11541748
20.0,205.0,0.11151123
20.0,210.0,0.10852051
20.0,215.0,0.10534668
20.0,220.0,0.10235596
20.0,225.0,0.10003662
20.0,230.0,0.09759521
20.0,235.0,0.09545898
20.0,240.0,0.09362793
20.0,245.0,0.0925293
20.0,250.0,0.09075928
20.0,255.0,0.08996582
20.0,260.0,0.08929443
20.0,265.0,0.08856201
20.0,270.0,0.08807373
20.0,275.0,0.08782959
20.0,280.0,0.08758545
20.0,285.0,0.08746338
20.0,290.0,0.08740234
20.0,295.0,0.08728027
20.0,300.0,0.08721924
20.0,305.0,0.08709717
20.0,310.0,0.08703613
20.0,315.0,0.0869751
20.0,320.0,0.08691406
20.0,325.0,0.08691406
20.0,330.0,0.08691406
20.0,335.0,0.08691406
20.0,340.0,0.08691406
20.0,345.0,0.08691406
20.0,350.0,0.08691406
20.0,355.0,0.08691406
20.0,360.0,0.08691406
25.0,115.0,0.05883789
25.0,120.0,0.07183838
25.0,125.0,0.08435059
25.0,130.0,0.09686279
25.0,135.0,0.10943604
25.0,140.0,0.12060547
25.0,145.0,0.13049316
25.0,150.0,0.13861084
25.0,155.0,0.14318848
25.0,160.0,0.14453125
25.0,165.0,0.14624023
25.0,170.0,0.14550781
25.0,175.0,0.14459229
25.0,180.0,0.14178467
25.0,185.0,0.1385498
25.0,190.0,0.13549805
25.0,195.0,0.13134766
25.0,200.0,0.12713623
25.0,205.0,0.12298584
25.0,210.0,0.11987305
25.0,215.0,0.11560059
25.0,220.0,0.11218262
25.0,225.0,0.10876465
25.0,230.0,0.10595703
25.0,235.0,0.10302734
25.0,240.0,0.10101318
25.0,245.0,0.09924316
25.0,250.0,0.09741211
25.0,255.0,0.09606934
25.0,260.0,0.0949707
25.0,265.0,0.09423828
25.0,270.0,0.09362793
25.0,275.0,0.09326172
25.0,280.0,0.09277344
25.0,285.0,0.0925293
25.0,290.0,0.0925293
25.0,295.0,0.09240723
25.0,300.0,0.09228516
25.0,305.0,0.09216309
25.0,310.0,0.09210205
25.0,315.0,0.09204102
25.0,320.0,0.09197998
25.0,325.0,0.09197998
25.0,330.0,0.09197998
25.0,335.0,0.09197998
25.0,340.0,0.09197998
25.0,345.0,0.09197998
25.0,350.0,0.09197998
25.0,355.0,0.09197998
25.0,360.0,0.09197998
30.0,115.0,0.06713867
30.0,120.0,0.08209229
30.0,125.0,0.09588623
30.0,130.0,0.10974121
30.0,135.0,0.1239624
30.0,140.0,0.13665771
30.0,145.0,0.14776611
30.0,150.0,0.15673828
30.0,155.0,0.16204834
30.0,160.0,0.16497803
30.0,165.0,0.16540527
30.0,170.0,0.16418457
30.0,175.0,0.16156006
30.0,180.0,0.1595459
30.0,185.0,0.15563965
30.0,190.0,0.15039062
30.0,195.0,0.14544678
30.0,200.0,0.14080811
30.0,205.0,0.1350708
30.0,210.0,0.12994385
30.0,215.0,0.12487793
30.0,220.0,0.1206665
