segment,hours,direction,direction_name,movement,estimated_flow_veh_per_hour,approach_flow_veh_per_hour
低谷,"00,01,02,03,04,05,22,23",1,east-west,直行,73.2627,112.7118
低谷,"00,01,02,03,04,05,22,23",1,east-west,左转,20.2881,112.7118
低谷,"00,01,02,03,04,05,22,23",1,east-west,右转,19.161,112.7118
低谷,"00,01,02,03,04,05,22,23",2,west-east,直行,28.0403,43.1389
低谷,"00,01,02,03,04,05,22,23",2,west-east,左转,7.765,43.1389
低谷,"00,01,02,03,04,05,22,23",2,west-east,右转,7.3336,43.1389
低谷,"00,01,02,03,04,05,22,23",3,south-north,直行,42.399,65.2292
低谷,"00,01,02,03,04,05,22,23",3,south-north,左转,11.7413,65.2292
低谷,"00,01,02,03,04,05,22,23",3,south-north,右转,11.089,65.2292
低谷,"00,01,02,03,04,05,22,23",4,north-south,直行,84.0554,129.316
低谷,"00,01,02,03,04,05,22,23",4,north-south,左转,23.2769,129.316
低谷,"00,01,02,03,04,05,22,23",4,north-south,右转,21.9837,129.316
平峰,"06,07,08,09,10,17,20,21",1,east-west,直行,316.4214,486.8021
平峰,"06,07,08,09,10,17,20,21",1,east-west,左转,87.6244,486.8021
平峰,"06,07,08,09,10,17,20,21",1,east-west,右转,82.7564,486.8021
平峰,"06,07,08,09,10,17,20,21",2,west-east,直行,108.9743,167.6528
平峰,"06,07,08,09,10,17,20,21",2,west-east,左转,30.1775,167.6528
平峰,"06,07,08,09,10,17,20,21",2,west-east,右转,28.501,167.6528
平峰,"06,07,08,09,10,17,20,21",3,south-north,直行,240.8972,370.6111
平峰,"06,07,08,09,10,17,20,21",3,south-north,左转,66.71,370.6111
平峰,"06,07,08,09,10,17,20,21",3,south-north,右转,63.0039,370.6111
平峰,"06,07,08,09,10,17,20,21",4,north-south,直行,347.7951,535.0694
平峰,"06,07,08,09,10,17,20,21",4,north-south,左转,96.3125,535.0694
平峰,"06,07,08,09,10,17,20,21",4,north-south,右转,90.9618,535.0694
高峰,"11,12,13,14,15,16,18,19",1,east-west,直行,410.6443,631.7604
高峰,"11,12,13,14,15,16,18,19",1,east-west,左转,113.7169,631.7604
高峰,"11,12,13,14,15,16,18,19",1,east-west,右转,107.3993,631.7604
高峰,"11,12,13,14,15,16,18,19",2,west-east,直行,139.847,215.1493
高峰,"11,12,13,14,15,16,18,19",2,west-east,左转,38.7269,215.1493
高峰,"11,12,13,14,15,16,18,19",2,west-east,右转,36.5754,215.1493
高峰,"11,12,13,14,15,16,18,19",3,south-north,直行,280.0958,430.9167
高峰,"11,12,13,14,15,16,18,19",3,south-north,左转,77.565,430.9167
高峰,"11,12,13,14,15,16,18,19",3,south-north,右转,73.2558,430.9167
高峰,"11,12,13,14,15,16,18,19",4,north-south,直行,438.1451,674.0694
高峰,"11,12,13,14,15,16,18,19",4,north-south,左转,121.3325,674.0694
高峰,"11,12,13,14,15,16,18,19",4,north-south,右转,114.5918,674.0694
