intersection,cycle_s,green_EW_s,green_NS_s,avg_EW_flow_veh_per_hour,avg_NS_flow_veh_per_hour,speed_before_index_kmh,speed_after_index_kmh,speed_improvement_pct
环东路-纬中路,120.0,30.85,81.15,47.662,125.3727,37.9995,40.4396,6.4215
环西路-纬中路,120.0,66.83,45.17,1456.2431,984.39,25.2156,27.5061,9.0838
纬中路-景区出入口,120.0,87.0,25.0,602.066,14.8866,37.9215,40.0399,5.5862
经一路-纬中路,120.0,74.29,37.71,582.3981,295.6528,37.68,40.5319,7.5688
经三路-纬中路,120.0,67.64,44.36,568.6215,372.8646,37.5781,40.9232,8.9016
经中路-环北路,120.0,36.47,75.53,292.0648,604.853,37.6518,40.4177,7.3458
经中路-环南路,120.0,55.44,56.56,660.6123,673.8785,36.3526,40.6505,11.8228
经中路-纬一路,120.0,27.1,84.9,204.6377,641.1609,37.7241,39.9395,5.8725
经中路-纬中路,120.0,48.05,63.95,552.4051,735.0706,36.5645,40.1344,9.7635
经二路-纬中路,120.0,87.0,25.0,512.1331,0.0,37.9627,40.0834,5.5862
经五路-纬中路,120.0,87.0,25.0,185.4398,41.6065,37.9986,40.1212,5.5862
经四路-纬中路,120.0,48.27,63.73,35.8762,47.3681,38.0,41.7302,9.8165
