plate,count,unique_intersections,duration_min,scenic_count,first,last
无车牌,30916,12,7198.98,1139,2024-05-01 00:00:40,2024-05-05 23:59:39
unnnowk,3153,5,7199.12,0,2024-05-01 00:00:44,2024-05-05 23:59:51
AFF35767,481,9,6446.6,64,2024-05-01 06:29:31,2024-05-05 17:56:07
AF8AA67K,461,12,6496.58,60,2024-05-01 05:41:46,2024-05-05 17:58:21
AFFB5EF7,459,9,6364.98,61,2024-05-01 06:43:53,2024-05-05 16:48:52
AFF85677,398,9,4996.58,58,2024-05-02 06:29:25,2024-05-05 17:46:00
AFFB5EE7,386,9,6659.77,54,2024-05-01 06:58:03,2024-05-05 21:57:49
AFBM4DFK,385,12,6512.33,28,2024-05-01 07:58:12,2024-05-05 20:30:32
AFF39767,382,11,5776.02,54,2024-05-01 17:16:46,2024-05-05 17:32:47
AF3NA8EK,378,12,7185.58,40,2024-05-01 00:04:41,2024-05-05 23:50:16
AFFB5D87,377,9,5954.75,56,2024-05-01 14:04:58,2024-05-05 17:19:43
AF2NCA9K,375,12,7102.18,50,2024-05-01 00:48:54,2024-05-05 23:11:05
AF9896EK,375,12,6625.27,42,2024-05-01 07:11:23,2024-05-05 21:36:39
AFF67887,374,10,6712.83,49,2024-05-01 06:49:30,2024-05-05 22:42:20
AF警69B6,370,9,7158.53,0,2024-05-01 00:29:25,2024-05-05 23:47:57
AFW8B8T,367,12,6570.97,27,2024-05-01 07:30:07,2024-05-05 21:01:05
AF467C9K,364,12,7198.5,28,2024-05-01 00:01:11,2024-05-05 23:59:41
AF9NB7CK,361,12,6500.75,39,2024-05-01 06:30:14,2024-05-05 18:50:59
AF95B67K,360,12,6651.33,31,2024-05-01 07:07:48,2024-05-05 21:59:08
AF7I67CK,356,12,6540.7,24,2024-05-01 10:42:44,2024-05-05 23:43:26
AFAQAC9K,356,12,6524.3,28,2024-05-01 11:00:36,2024-05-05 23:44:54
AFA4I9A,355,12,6648.27,28,2024-05-01 07:28:32,2024-05-05 22:16:48
AF4FBB7K,345,12,6699.78,13,2024-05-01 08:08:59,2024-05-05 23:48:46
AFA9DDBK,345,12,6527.85,35,2024-05-01 07:58:07,2024-05-05 20:45:58
AFN6C2E,342,12,7164.1,13,2024-05-01 00:23:18,2024-05-05 23:47:24
AF9K9D7K,338,12,6511.78,35,2024-05-01 07:38:47,2024-05-05 20:10:34
AFF35EB7,334,8,6409.48,0,2024-05-01 07:15:55,2024-05-05 18:05:24
AF74DOE,333,12,7174.67,25,2024-05-01 00:05:10,2024-05-05 23:39:50
AF5G7C8K,333,11,6574.08,29,2024-05-01 08:25:54,2024-05-05 21:59:59
AFF4AC97,330,7,6409.07,0,2024-05-01 06:15:34,2024-05-05 17:04:38
AF9575EK,329,12,7041.97,27,2024-05-01 00:19:29,2024-05-05 21:41:27
AF8HAD8K,329,12,6997.08,30,2024-05-01 00:04:31,2024-05-05 20:41:36
AFAKA79K,327,12,6559.55,33,2024-05-01 08:12:38,2024-05-05 21:32:11
AF8EA79K,325,12,6591.57,32,2024-05-01 08:00:56,2024-05-05 21:52:30
AFE8987,323,12,6510.68,24,2024-05-01 10:14:17,2024-05-05 22:44:58
AFA4CA8K,319,12,6915.73,16,2024-05-01 00:02:22,2024-05-05 19:18:06
AF8HC5CK,317,12,5210.15,32,2024-05-01 09:54:25,2024-05-05 00:44:34
AF4N9B6K,315,12,6571.22,29,2024-05-01 07:28:44,2024-05-05 20:59:57
AF289ECK,315,12,6338.05,13,2024-05-01 09:22:17,2024-05-05 19:00:20
AFAEA6FK,314,12,6604.82,36,2024-05-01 06:43:41,2024-05-05 20:48:30
AF7D9BCK,310,12,7190.4,34,2024-05-01 00:04:03,2024-05-05 23:54:27
AF36A68K,310,12,6639.22,31,2024-05-01 07:25:08,2024-05-05 22:04:21
AF4MBC6K,308,12,7072.23,26,2024-05-01 00:19:36,2024-05-05 22:11:50
AF8E7CCM,307,12,6453.0,34,2024-05-01 11:45:15,2024-05-05 23:18:15
AF2O9E6K,301,12,6231.17,37,2024-05-01 13:54:19,2024-05-05 21:45:29
AF5DD88K,300,12,6520.57,24,2024-05-01 08:17:28,2024-05-05 20:58:02
AF8HC6BK,298,12,6700.43,24,2024-05-01 07:40:47,2024-05-05 23:21:13
AF3GCEDK,298,12,6406.7,21,2024-05-01 09:38:58,2024-05-05 20:25:40
AF8MCE7K,297,12,7057.68,17,2024-05-01 00:36:02,2024-05-05 22:13:43
AF5DCBEM,296,12,6456.12,24,2024-05-01 12:07:31,2024-05-05 23:43:38
