date,hour,active_cruising_vehicles,section,peak_active_cruising_vehicles
2024-05-01,0,1873,,
2024-05-01,1,1335,,
2024-05-01,2,897,,
2024-05-01,3,538,,
2024-05-01,4,549,,
2024-05-01,5,1199,,
2024-05-01,6,2564,,
2024-05-01,7,5269,,
2024-05-01,8,8980,,
2024-05-01,9,8056,,
2024-05-01,10,8330,,
2024-05-01,11,7617,,
2024-05-01,12,5765,,
2024-05-01,13,5311,,
2024-05-01,14,4957,,
2024-05-01,15,7143,,
2024-05-01,16,8457,,
2024-05-01,17,9510,,
2024-05-01,18,10082,,
2024-05-01,19,10391,,
2024-05-01,20,9512,,
2024-05-01,21,8813,,
2024-05-01,22,6776,,
2024-05-01,23,4451,,
2024-05-02,0,2611,,
2024-05-02,1,1262,,
2024-05-02,2,718,,
2024-05-02,3,491,,
2024-05-02,4,524,,
2024-05-02,5,1168,,
2024-05-02,6,2647,,
2024-05-02,7,5321,,
2024-05-02,8,7422,,
2024-05-02,9,8414,,
2024-05-02,10,8444,,
2024-05-02,11,8778,,
2024-05-02,12,8435,,
2024-05-02,13,7827,,
2024-05-02,14,7671,,
2024-05-02,15,8890,,
2024-05-02,16,9498,,
2024-05-02,17,9865,,
2024-05-02,18,9365,,
2024-05-02,19,9881,,
2024-05-02,20,8921,,
2024-05-02,21,7693,,
2024-05-02,22,5470,,
2024-05-02,23,3800,,
2024-05-03,0,2063,,
2024-05-03,1,976,,
2024-05-03,2,584,,
2024-05-03,3,452,,
2024-05-03,4,446,,
2024-05-03,5,1069,,
2024-05-03,6,2755,,
2024-05-03,7,5344,,
2024-05-03,8,7013,,
2024-05-03,9,7701,,
2024-05-03,10,7781,,
2024-05-03,11,7315,,
2024-05-03,12,8647,,
2024-05-03,13,8659,,
2024-05-03,14,8530,,
2024-05-03,15,8531,,
2024-05-03,16,10277,,
2024-05-03,17,10319,,
2024-05-03,18,9454,,
2024-05-03,19,9295,,
2024-05-03,20,8425,,
2024-05-03,21,7236,,
2024-05-03,22,4874,,
2024-05-03,23,3522,,
2024-05-04,0,1992,,
2024-05-04,1,1128,,
2024-05-04,2,509,,
2024-05-04,3,439,,
2024-05-04,4,478,,
2024-05-04,5,1086,,
2024-05-04,6,2951,,
2024-05-04,7,5907,,
2024-05-04,8,7693,,
2024-05-04,9,8053,,
2024-05-04,10,8389,,
2024-05-04,11,8819,,
2024-05-04,12,7862,,
2024-05-04,13,7121,,
2024-05-04,14,7751,,
2024-05-04,15,7684,,
2024-05-04,16,7374,,
2024-05-04,17,7682,,
2024-05-04,18,8456,,
2024-05-04,19,8632,,
2024-05-04,20,7838,,
2024-05-04,21,5650,,
2024-05-04,22,3728,,
2024-05-04,23,3075,,
2024-05-05,0,1696,,
2024-05-05,1,876,,
2024-05-05,2,535,,
2024-05-05,3,477,,
2024-05-05,4,439,,
2024-05-05,5,969,,
2024-05-05,6,2606,,
2024-05-05,7,6040,,
2024-05-05,8,7382,,
2024-05-05,9,7593,,
2024-05-05,10,7547,,
2024-05-05,11,7778,,
2024-05-05,12,9842,,
2024-05-05,13,8530,,
2024-05-05,14,7640,,
2024-05-05,15,7609,,
2024-05-05,16,9265,,
2024-05-05,17,9070,,
2024-05-05,18,7935,,
2024-05-05,19,7103,,
2024-05-05,20,6127,,
2024-05-05,21,4461,,
2024-05-05,22,3127,,
2024-05-05,23,2680,,
2024-05-01,,,daily_peak,10391
2024-05-02,,,daily_peak,9881
2024-05-03,,,daily_peak,10319
2024-05-04,,,daily_peak,8819
2024-05-05,,,daily_peak,9842
