year,problem,success,question_count,recommended_models,mean_score
2015,P01 Is it sustainable,True,5,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、时间序列预测,129.261556
2015,P02 Managing Human Capital in Organizations,True,2,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,114.108685
2016,ICM-D Measuring the Evolution and Influence in Society’s Information Networks,True,2,机器学习建模、统计回归与拟合、文本与信号分析、多指标评价模型、图论与网络流,129.968575
2016,ICM-E Are we heading towards a thirsty planet,True,1,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,108.590726
2016,ICM-F Modeling Refugee Immigration Policies,True,12,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,132.15785
2016,MCM-A A Hot Bath,True,2,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,64.257694
2016,MCM-B Space Junk,True,3,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,102.761845
2016,MCM-C The Goodgrant Challenge,True,1,时间序列预测、统计回归与拟合、机器学习建模、多指标评价模型、文本与信号分析,95.302678
2017,ICM-D Optimizing the Passenger Throughput at an Airport Security Checkpoint,True,3,图论与网络流、优化规划模型、群体智能与启发式、仿真与蒙特卡洛、微分方程与系统动力学,230.105283
2017,ICM-E Sustainable Cities Needed!,True,2,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,235.228442
2017,ICM-F Migration to Mars - Utopian Workforce of the 2100 Urban Society,True,12,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,241.284705
2017,MCM-A Managing The Zambezi River,True,1,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,116.917042
2017,MCM-B Merge After Toll,True,4,图论与网络流、优化规划模型、群体智能与启发式、仿真与蒙特卡洛,316.669161
2017,MCM-C “Cooperate and navigate”,True,7,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,187.118318
2018,"ICM-D Out of Gas and Driving on E (for electric, not empty)",True,12,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、图论与网络流,146.427123
2018,ICM-E How does climate change influence regional instability,True,5,微分方程与系统动力学、优化规划模型、多指标评价模型、仿真与蒙特卡洛、时间序列预测,311.50837
