flow_l_per_min,motion,mean_abs_error_c,mean_spatial_range_c,final_mean_c,wasted_liters,comfort_score
0.0,still,4.3515,0.0,32.1447,0.0,0.186864
0.0,gentle_motion,4.3515,0.0,32.1447,0.0,0.186864
0.0,active_stirring,4.3515,0.0,32.1447,0.0,0.186864
0.25,still,4.0977,2.1417,32.6637,10.0,0.143656
0.25,gentle_motion,4.0977,1.9651,32.6637,10.0,0.146632
0.25,active_stirring,4.0977,1.7408,32.6637,10.0,0.150595
0.5,still,3.8439,3.8472,33.1827,20.0,0.121629
0.5,gentle_motion,3.8439,3.5713,33.1827,20.0,0.124985
0.5,active_stirring,3.8439,3.2078,33.1827,20.0,0.129698
0.75,still,3.5902,5.205,33.7017,30.0,0.108646
0.75,gentle_motion,3.5902,4.882,33.7017,30.0,0.111784
0.75,active_stirring,3.5902,4.4413,33.7016,30.0,0.116371
1.0,still,3.3364,6.2878,34.2207,40.0,0.100334
1.0,gentle_motion,3.3364,5.9514,34.2207,40.0,0.103119
1.0,active_stirring,3.3365,5.4764,34.2204,40.0,0.107324
1.25,still,3.0827,7.1541,34.7397,50.0,0.094733
1.25,gentle_motion,3.0827,6.8248,34.7395,50.0,0.097158
1.25,active_stirring,3.0828,6.3439,34.7387,50.0,0.10093
1.5,still,2.8289,7.8504,35.2584,60.0,0.090832
1.5,gentle_motion,2.829,7.5392,35.2579,60.0,0.092934
1.5,active_stirring,2.8292,7.07,35.2562,60.0,0.096291
1.75,still,2.5753,8.4127,35.7766,70.0,0.088064
1.75,gentle_motion,2.5754,8.1245,35.7754,70.0,0.089888
1.75,active_stirring,2.5759,7.6766,35.772,70.0,0.092875
2.0,still,2.3217,8.8685,36.2936,80.0,0.086084
2.0,gentle_motion,2.322,8.6041,36.2912,80.0,0.087678
2.0,active_stirring,2.3229,8.1817,36.2852,80.0,0.090348
2.25,still,2.0685,9.2383,36.8085,90.0,0.084681
2.25,gentle_motion,2.0691,8.9962,36.8041,90.0,0.086088
2.25,active_stirring,2.0706,8.5999,36.7941,90.0,0.088491
2.5,still,1.8157,9.5369,37.3195,100.0,0.083715
2.5,gentle_motion,1.8168,9.3146,37.3122,100.0,0.084973
2.5,active_stirring,1.8193,8.9429,37.2968,100.0,0.087156
