sample_type,seconds
precheck_arrivals,0.0
precheck_arrivals,11.24
precheck_arrivals,12.52
precheck_arrivals,13.64
precheck_arrivals,15.0
precheck_arrivals,24.63
precheck_arrivals,33.88
precheck_arrivals,54.43
precheck_arrivals,55.96
precheck_arrivals,74.62
precheck_arrivals,76.26
precheck_arrivals,103.57
precheck_arrivals,108.71
precheck_arrivals,124.12
precheck_arrivals,146.24
precheck_arrivals,174.42
precheck_arrivals,177.73
precheck_arrivals,178.96
precheck_arrivals,181.07
precheck_arrivals,185.96
precheck_arrivals,188.96
precheck_arrivals,190.43
precheck_arrivals,200.46
precheck_arrivals,201.62
precheck_arrivals,214.44
precheck_arrivals,232.82
precheck_arrivals,257.18
precheck_arrivals,275.06
precheck_arrivals,275.53
precheck_arrivals,277.22
precheck_arrivals,277.82
precheck_arrivals,306.15
precheck_arrivals,312.85
precheck_arrivals,336.56
precheck_arrivals,341.92
precheck_arrivals,345.8
precheck_arrivals,363.26
precheck_arrivals,366.45
precheck_arrivals,371.34
precheck_arrivals,406.06
precheck_arrivals,406.8
precheck_arrivals,408.71
precheck_arrivals,409.91
precheck_arrivals,426.15
precheck_arrivals,426.98
precheck_arrivals,447.15
precheck_arrivals,456.17
precheck_arrivals,460.62
precheck_arrivals,461.28
precheck_arrivals,461.95
precheck_arrivals,466.84
precheck_arrivals,495.66
precheck_arrivals,502.64
precheck_arrivals,504.71
precheck_arrivals,505.53
precheck_arrivals,507.23
precheck_arrivals,522.9
precheck_arrivals,523.8
regular_arrivals,9.15
regular_arrivals,9.67
regular_arrivals,11.26
regular_arrivals,12.78
regular_arrivals,14.28
regular_arrivals,15.85
regular_arrivals,26.85
regular_arrivals,56.84
regular_arrivals,81.11
regular_arrivals,136.04
regular_arrivals,143.55
regular_arrivals,147.11
regular_arrivals,162.71
regular_arrivals,164.23
regular_arrivals,185.57
regular_arrivals,192.77
regular_arrivals,195.3
regular_arrivals,206.83
regular_arrivals,209.27
regular_arrivals,266.54
regular_arrivals,282.35
regular_arrivals,287.75
regular_arrivals,299.61
regular_arrivals,309.48
regular_arrivals,340.13
regular_arrivals,356.65
regular_arrivals,360.42
regular_arrivals,379.93
regular_arrivals,458.82
regular_arrivals,470.84
regular_arrivals,480.76
regular_arrivals,481.73
regular_arrivals,484.2
regular_arrivals,485.57
regular_arrivals,497.6
regular_arrivals,499.75
regular_arrivals,500.88
regular_arrivals,501.61
regular_arrivals,512.76
regular_arrivals,525.63
regular_arrivals,534.13
regular_arrivals,535.82
regular_arrivals,553.24
regular_arrivals,574.36
regular_arrivals,592.91
regular_arrivals,595.51
regular_arrivals,3600.0
id_times,7.55
id_times,5.28
id_times,11.06
id_times,9.98
id_times,9.15
id_times,8.82
id_times,12.61
id_times,15.44
id_times,11.88
id_times,14.65
id_times,11.85
id_times,14.78
id_times,20.45
id_times,7.7
id_times,7.5
id_times,10.93
mm_wave_times,11.34
mm_wave_times,12.39
mm_wave_times,3.5
mm_wave_times,7.47
mm_wave_times,8.19
mm_wave_times,12.97
mm_wave_times,11.0
mm_wave_times,9.02
mm_wave_times,7.79
mm_wave_times,10.62
mm_wave_times,15.18
mm_wave_times,11.0
mm_wave_times,16.94
mm_wave_times,13.38
mm_wave_times,7.74
mm_wave_times,6.68
mm_wave_times,11.66
mm_wave_times,19.41
mm_wave_times,8.57
mm_wave_times,37.44
mm_wave_times,11.35
mm_wave_times,12.37
mm_wave_times,11.99
mm_wave_times,13.24
mm_wave_times,11.11
mm_wave_times,7.25
mm_wave_times,8.1
mm_wave_times,14.37
mm_wave_times,7.03
mm_wave_times,11.04
mm_wave_times,9.59
mm_wave_times,27.52
mm_wave_times,8.54
mm_wave_times,9.74
mm_wave_times,11.02
mm_wave_times,9.68
mm_wave_times,8.63
mm_wave_times,11.93
mm_wave_times,7.06
xray_times,3.13
xray_times,1.69
xray_times,1.92
xray_times,10.82
xray_times,2.35
xray_times,2.08
xray_times,16.73
xray_times,25.91
xray_times,1.69
xray_times,9.1
xray_times,1.53
xray_times,1.93
xray_times,7.55
property_times,48.0
property_times,45.0
property_times,28.0
property_times,25.0
property_times,22.0
property_times,24.0
property_times,17.0
property_times,33.0
property_times,480.0
property_times,10.0
property_times,26.0
property_times,32.0
property_times,21.0
property_times,37.0
property_times,68.0
property_times,40.0
property_times,18.0
property_times,26.0
property_times,480.0
property_times,21.0
property_times,23.0
property_times,28.0
property_times,50.0
property_times,28.0
property_times,48.0
property_times,28.0
property_times,36.0
property_times,27.0
property_times,300.0
