language,native_speakers_2018_m,total_speakers_2018_m,native_speakers_2068_m,total_speakers_2068_m,regions
English,379,1130,462.727,1339.008,Global
Mandarin Chinese,918,1110,1014.446,1208.389,East Asia
Hindi,341,615,560.819,939.01,South Asia
Arabic,315,422,571.921,700.94,"Middle East, Africa"
Spanish,460,530,620.379,683.502,"Americas, Europe"
French,77,280,146.88,485.054,"Europe, Africa"
Bengali,228,265,356.856,387.91,South Asia
Portuguese,221,258,283.593,318.942,"South America, Africa"
Russian,154,258,139.331,236.959,Eurasia
Japanese,128,128,104.756,107.958,East Asia
