MatchID,OpponentID,Outcome,team_success_non_loss,OwnScore,OpponentScore,goal_diff,Side,CoachID,passes,opponent_passes,pass_advantage,players_involved,network_density,network_reciprocity,weighted_clustering,triadic_configurations,pass_type_entropy,top_pair_share,contribution_gini,average_pass_length,forward_pass_share,attacking_third_share,shot_count,duel_count,foul_count,home_side,origin_defense_share,origin_midfield_share,origin_forward_share,origin_goalkeeper_share
1,Opponent1,win,1,1,0,1,home,Coach1,369,197,172,14,0.60989,0.738739,0.154551,161,0.501998,0.04878,0.36566,24.51023,0.547425,0.219512,8,236,13,1,0.460705,0.349593,0.157182,0.03252
2,Opponent2,tie,1,1,1,0,away,Coach1,180,416,-236,14,0.456044,0.650602,0.146796,104,0.653439,0.044444,0.289744,23.408602,0.461111,0.261111,7,190,11,0,0.438889,0.377778,0.155556,0.027778
3,Opponent3,loss,0,0,2,-2,away,Coach1,324,471,-147,14,0.587912,0.672897,0.212964,164,0.42817,0.040123,0.288801,22.458064,0.515432,0.185185,7,169,8,0,0.478395,0.317901,0.12963,0.074074
4,Opponent4,loss,0,0,3,-3,home,Coach1,354,345,9,14,0.642857,0.717949,0.23767,193,0.714791,0.039548,0.324859,27.484516,0.562147,0.257062,9,207,14,1,0.483051,0.355932,0.101695,0.059322
5,Opponent5,loss,0,0,4,-4,away,Coach1,382,373,9,14,0.648352,0.762712,0.132487,183,0.496584,0.039267,0.334705,22.768169,0.565445,0.17801,6,187,13,0,0.421466,0.410995,0.120419,0.04712
6,Opponent6,win,1,2,1,1,home,Coach1,318,294,24,14,0.587912,0.766355,0.101532,148,0.664199,0.056604,0.376011,24.571476,0.559748,0.377358,15,239,12,1,0.345912,0.515723,0.103774,0.034591
7,Opponent7,loss,0,0,1,-1,home,Coach1,384,179,205,14,0.67033,0.770492,0.144878,187,0.627679,0.036458,0.353051,24.790942,0.559896,0.367188,24,234,12,1,0.466146,0.377604,0.117188,0.039062
8,Opponent8,tie,1,1,1,0,away,Coach1,295,277,18,14,0.510989,0.752688,0.147103,136,0.51269,0.044068,0.336375,25.255089,0.6,0.240678,11,238,10,0,0.467797,0.352542,0.125424,0.054237
9,Opponent9,loss,0,2,5,-3,home,Coach1,168,501,-333,14,0.5,0.725275,0.266693,111,0.724371,0.041667,0.227106,22.181242,0.583333,0.339286,7,183,15,1,0.446429,0.369048,0.136905,0.047619
10,Opponent10,loss,0,0,2,-2,away,Coach2,359,214,145,14,0.620879,0.79646,0.173622,160,0.57138,0.033426,0.367091,23.30567,0.573816,0.409471,13,244,11,0,0.431755,0.384401,0.16156,0.022284
11,Opponent11,win,1,3,2,1,home,Coach2,183,317,-134,14,0.527473,0.645833,0.296994,142,0.825446,0.038251,0.284994,23.712689,0.601093,0.382514,8,268,13,1,0.338798,0.464481,0.153005,0.043716
12,Opponent12,tie,1,2,2,0,away,Coach2,132,426,-294,14,0.445055,0.567901,0.188492,110,0.594091,0.045455,0.281385,24.842305,0.522727,0.227273,7,248,26,0,0.401515,0.439394,0.136364,0.022727
13,Opponent13,loss,0,1,4,-3,away,Coach2,247,504,-257,14,0.576923,0.761905,0.163676,139,0.749519,0.036437,0.318971,24.876957,0.582996,0.315789,5,216,13,0,0.368421,0.54251,0.032389,0.05668
