year,policy,conflict_index,wildlife_population_index,resident_acceptance_index,implementation_maturity
1,compensation and predator-proof livestock program,0.9858,0.9887,0.6007,0.395
2,compensation and predator-proof livestock program,0.9691,0.9781,0.6304,0.44
3,compensation and predator-proof livestock program,0.9501,0.9684,0.6601,0.485
4,compensation and predator-proof livestock program,0.9287,0.9594,0.6898,0.53
5,compensation and predator-proof livestock program,0.9054,0.9512,0.7195,0.575
6,compensation and predator-proof livestock program,0.8801,0.9439,0.7492,0.62
7,compensation and predator-proof livestock program,0.853,0.9373,0.7789,0.665
8,compensation and predator-proof livestock program,0.8245,0.9316,0.8086,0.71
9,compensation and predator-proof livestock program,0.7946,0.9267,0.8383,0.755
10,compensation and predator-proof livestock program,0.7637,0.9226,0.868,0.8
11,compensation and predator-proof livestock program,0.7318,0.9193,0.8977,0.845
12,compensation and predator-proof livestock program,0.6993,0.9169,0.9274,0.89
13,compensation and predator-proof livestock program,0.6663,0.9152,0.9571,0.935
14,compensation and predator-proof livestock program,0.633,0.9144,0.9868,0.98
15,compensation and predator-proof livestock program,0.6006,0.9143,1.0,1.0
16,compensation and predator-proof livestock program,0.5698,0.9145,1.0,1.0
17,compensation and predator-proof livestock program,0.5406,0.9151,1.0,1.0
18,compensation and predator-proof livestock program,0.513,0.9161,1.0,1.0
19,compensation and predator-proof livestock program,0.4867,0.9175,1.0,1.0
20,compensation and predator-proof livestock program,0.4618,0.9192,1.0,1.0
