year,policy,conflict_index,wildlife_population_index,resident_acceptance_index,implementation_maturity,tourism_revenue_index,community_revenue_share,community_revenue_index,local_opportunity_cost_index,net_community_benefit_index
1,compensation and predator-proof livestock program,0.9858,0.9887,0.6007,0.395,1.0012,0.1426,0.1428,0.2562,-0.1134
2,compensation and predator-proof livestock program,0.9691,0.9781,0.6304,0.44,1.0026,0.1452,0.1456,0.2525,-0.1069
3,compensation and predator-proof livestock program,0.9501,0.9684,0.6601,0.485,1.0042,0.1478,0.1484,0.2488,-0.1004
4,compensation and predator-proof livestock program,0.9287,0.9594,0.6898,0.53,1.0058,0.1504,0.1513,0.2451,-0.0939
5,compensation and predator-proof livestock program,0.9054,0.9512,0.7195,0.575,1.0077,0.153,0.1542,0.2416,-0.0874
6,compensation and predator-proof livestock program,0.8801,0.9439,0.7492,0.62,1.0096,0.1556,0.1571,0.238,-0.0809
7,compensation and predator-proof livestock program,0.853,0.9373,0.7789,0.665,1.0117,0.1582,0.1601,0.2346,-0.0745
8,compensation and predator-proof livestock program,0.8245,0.9316,0.8086,0.71,1.014,0.1608,0.1631,0.2311,-0.0681
9,compensation and predator-proof livestock program,0.7946,0.9267,0.8383,0.755,1.0164,0.1634,0.1661,0.2278,-0.0617
10,compensation and predator-proof livestock program,0.7637,0.9226,0.868,0.8,1.019,0.166,0.1692,0.2244,-0.0553
11,compensation and predator-proof livestock program,0.7318,0.9193,0.8977,0.845,1.0217,0.1686,0.1723,0.2212,-0.0489
12,compensation and predator-proof livestock program,0.6993,0.9169,0.9274,0.89,1.0246,0.1712,0.1754,0.2179,-0.0425
13,compensation and predator-proof livestock program,0.6663,0.9152,0.9571,0.935,1.0276,0.1738,0.1786,0.2148,-0.0362
14,compensation and predator-proof livestock program,0.633,0.9144,0.9868,0.98,1.0307,0.1764,0.1818,0.2116,-0.0298
15,compensation and predator-proof livestock program,0.6006,0.9143,1.0,1.0,1.034,0.179,0.1851,0.2085,-0.0234
16,compensation and predator-proof livestock program,0.5698,0.9145,1.0,1.0,1.0373,0.1816,0.1884,0.2055,-0.0171
17,compensation and predator-proof livestock program,0.5406,0.9151,1.0,1.0,1.0405,0.1842,0.1917,0.2025,-0.0108
18,compensation and predator-proof livestock program,0.513,0.9161,1.0,1.0,1.0438,0.1868,0.195,0.1995,-0.0045
19,compensation and predator-proof livestock program,0.4867,0.9175,1.0,1.0,1.0471,0.1894,0.1983,0.1966,0.0017
20,compensation and predator-proof livestock program,0.4618,0.9192,1.0,1.0,1.0504,0.192,0.2017,0.1937,0.0079
