scenario,month,season,crop,wild_plants,pests,beneficial_insects,bats,birds,soil_health,predators
baseline_chemical,0,0.5,0.58,0.12,0.62,0.18,0.05,0.14,0.38,0.08
baseline_chemical,1,0.75,0.52899,0.0512,0.60105,0.126,0.0473,0.1405,0.3326,0.0696
baseline_chemical,2,0.93301,0.48888,0.02,0.59606,0.06684,0.04187,0.14053,0.28348,0.05921
baseline_chemical,3,1.0,0.45333,0.02,0.60268,0.02,0.03533,0.14043,0.23358,0.04883
baseline_chemical,4,0.93301,0.41459,0.02,0.61436,0.02,0.02903,0.14049,0.18368,0.03844
baseline_chemical,5,0.75,0.3662,0.02,0.62006,0.02,0.02313,0.14085,0.13378,0.02805
baseline_chemical,6,0.5,0.3027,0.02,0.61017,0.02,0.02,0.14136,0.08388,0.02
baseline_chemical,7,0.25,0.22317,0.02,0.57722,0.02,0.02,0.14161,0.03398,0.02
baseline_chemical,8,0.06699,0.1322,0.02,0.519,0.02,0.02,0.14104,0.02,0.02
baseline_chemical,9,0.0,0.02,0.02,0.44013,0.02,0.02,0.13902,0.02,0.02
baseline_chemical,10,0.06699,0.02,0.02,0.34688,0.02,0.02,0.13502,0.02,0.02
baseline_chemical,11,0.25,0.02,0.02,0.25641,0.02,0.02,0.12869,0.02,0.02
baseline_chemical,12,0.5,0.02,0.02,0.17078,0.02,0.02,0.1201,0.02,0.02
baseline_chemical,13,0.75,0.02,0.02,0.08797,0.02,0.02,0.10937,0.02,0.02
baseline_chemical,14,0.93301,0.02,0.02,0.02,0.02,0.02,0.09657,0.02,0.02
baseline_chemical,15,1.0,0.02,0.02,0.02,0.02,0.02,0.08207,0.02,0.02
baseline_chemical,16,0.93301,0.02,0.02,0.02,0.02,0.02,0.06757,0.02,0.02
baseline_chemical,17,0.75,0.02,0.02,0.02,0.02,0.02,0.05307,0.02,0.02
baseline_chemical,18,0.5,0.02,0.02,0.02,0.02,0.02,0.03857,0.02,0.02
baseline_chemical,19,0.25,0.02,0.02,0.02,0.02,0.02,0.02407,0.02,0.02
baseline_chemical,20,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,21,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,22,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,23,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,24,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,25,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,26,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,27,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,28,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,29,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,30,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,31,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,32,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,33,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,34,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,35,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,36,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,37,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,38,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,39,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,40,0.93301,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,41,0.75,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,42,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,43,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,44,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,45,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,46,0.06699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
baseline_chemical,47,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
