iso3,country,internet_users_pct,gdp_per_capita_usd,education_spending_pct_gdp
AUS,Australia,96.13140106,64603.9856308464,5.05915021896362
BRA,Brazil,84.46347227,10310.5488778166,5.61920976638794
CAN,Canada,94.353302,54340.3477224733,4.84426021575928
CHN,China,91.6,13303.1481543868,3.89714002609253
DEU,Germany,93.49999579,56103.7323182554,5.23916006088257
FRA,France,88.65381638,46103.0840855884,5.32434988021851
GBR,United Kingdom,95.4720993,53246.3676145108,5.90681982040405
IND,India,70.0,2694.73780859961,4.09865814174589
JPN,Japan,85.54153081,32487.0778047567,3.33663988113403
KOR,"Korea, Rep.",97.89563777,36238.639908315,5.40910005569458
SGP,Singapore,94.37757178,90674.066632628,2.19099857819757
USA,United States,94.69380188,84534.0407841548,5.42038011550903
