daily_cap,visitor_fee_usd,conservation_share,annual_visitors,business_revenue_usd,fee_revenue_usd,total_revenue_usd,hidden_cost_usd,net_benefit_usd,conservation_spend_usd,infrastructure_spend_usd,community_spend_usd,projected_glacier_recession_fields_per_year,economic_index,environment_index,resident_acceptance_index,sustainability_score,visitors_per_resident
12500,50.0,0.35,1408000,330000000.0,70400000.0,400400000.0,92375968.0,308024032.0,24640000.0,20592000.0,25168000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
10000,50.0,0.5,1408000,330000000.0,70400000.0,400400000.0,92815360.0,307584640.0,35200000.0,15840000.0,19360000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
12000,50.0,0.5,1408000,330000000.0,70400000.0,400400000.0,96946360.0,303453640.0,35200000.0,15840000.0,19360000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
12000,50.0,0.45,1408000,330000000.0,70400000.0,400400000.0,94963896.0,305436104.0,31680000.0,17424000.0,21296000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
12000,50.0,0.4,1408000,330000000.0,70400000.0,400400000.0,92981432.0,307418568.0,28160000.0,19008000.0,23232000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
14000,50.0,0.35,1408000,330000000.0,70400000.0,400400000.0,96506968.0,303893032.0,24640000.0,20592000.0,25168000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
12000,50.0,0.35,1408000,330000000.0,70400000.0,400400000.0,90998968.0,309401032.0,24640000.0,20592000.0,25168000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
10000,50.0,0.6,1408000,330000000.0,70400000.0,400400000.0,96780288.0,303619712.0,42240000.0,12672000.0,15488000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
10000,50.0,0.55,1408000,330000000.0,70400000.0,400400000.0,94797824.0,305602176.0,38720000.0,14256000.0,17424000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
10000,50.0,0.45,1408000,330000000.0,70400000.0,400400000.0,90832896.0,309567104.0,31680000.0,17424000.0,21296000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
12500,50.0,0.6,1408000,330000000.0,70400000.0,400400000.0,102288288.0,298111712.0,42240000.0,12672000.0,15488000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
10000,50.0,0.4,1408000,330000000.0,70400000.0,400400000.0,88850432.0,311549568.0,28160000.0,19008000.0,23232000.0,0.3353,1.067733,0.80235,0.78,0.908447,46.933
