Year,NOC,Sport,Event,Name,entry_type,Prob_Medal,Prob_Gold,past_total_medals,past_gold_medals,past_best_result,past_weighted_ratio
2028,LAT,3x3 Basketball,Men,Francis Lacis,athlete,0.5545510545250558,0.5796529936714484,0,0,0,0.0
2028,LAT,3x3 Basketball,Men,Zigmars Raimo,athlete,0.5545510545250558,0.5796529936714484,0,0,0,0.0
2028,SRB,3x3 Basketball,Men,Marko Brankovic,athlete,0.4939438486246914,0.19335976985822612,0,0,0,0.0
2028,SRB,3x3 Basketball,Men,Strahinja Stojacic,athlete,0.4939438486246914,0.19335976985822612,0,0,0,0.0
2028,USA,3x3 Basketball,Men,Canyon Barry,athlete,0.42122504137256295,0.2821748155440899,0,0,0,0.0
2028,USA,3x3 Basketball,Men,Dylan Travis,athlete,0.42122504137256295,0.2821748155440899,0,0,0,0.0
2028,USA,3x3 Basketball,Men,Jimmer Fredette,athlete,0.42122504137256295,0.2821748155440899,0,0,0,0.0
2028,USA,3x3 Basketball,Men,Kareem Maddox,athlete,0.42122504137256295,0.2821748155440899,0,0,0,0.0
2028,CHN,3x3 Basketball,Men,Jiaren Zhao,athlete,0.33475535981394944,0.09101388899921227,0,0,0,0.0
2028,CHN,3x3 Basketball,Men,Ning Zhang,athlete,0.33475535981394944,0.09101388899921227,0,0,0,0.0
2028,CHN,3x3 Basketball,Men,Wenbo Lu,athlete,0.33475535981394944,0.09101388899921227,0,0,0,0.0
2028,CHN,3x3 Basketball,Men,Yuanbo Zhu,athlete,0.33475535981394944,0.09101388899921227,0,0,0,0.0
2028,LTU,3x3 Basketball,Men,Aurelijus Pukelis,athlete,0.24315762620997525,0.14332620564734877,1,0,1,1.0
2028,LTU,3x3 Basketball,Men,Evaldas Dziaugys,athlete,0.24315762620997525,0.14332620564734877,1,0,1,1.0
2028,LTU,3x3 Basketball,Men,Gintautas Matulis,athlete,0.24315762620997525,0.14332620564734877,1,0,1,1.0
2028,LTU,3x3 Basketball,Men,Sarunas Vingelis,athlete,0.24315762620997525,0.14332620564734877,1,0,1,1.0
2028,SRB,3x3 Basketball,Men,Dejan Majstorovic,athlete,0.22290933143600689,0.1430070686140475,1,0,1,0.5
2028,SRB,3x3 Basketball,Men,Mihailo Vasic,athlete,0.22290933143600689,0.1430070686140475,1,0,1,0.5
2028,LAT,3x3 Basketball,Men,Karlis Lasmanis,athlete,0.17349707103529513,0.3865296684938276,1,1,3,1.5
2028,LAT,3x3 Basketball,Men,Nauris Miezis,athlete,0.17349707103529513,0.3865296684938276,1,1,3,1.5
2028,POL,3x3 Basketball,Men,Adrian Bogucki,athlete,0.16743860005507152,0.19683932579300262,0,0,0,0.0
2028,POL,3x3 Basketball,Men,Fili Matczak,athlete,0.16743860005507152,0.19683932579300262,0,0,0,0.0
2028,POL,3x3 Basketball,Men,Michal Sokolowski,athlete,0.16743860005507152,0.19683932579300262,0,0,0,0.0
2028,POL,3x3 Basketball,Men,Przemyslaw Zamojski,athlete,0.16743860005507152,0.19683932579300262,0,0,0,0.0
2028,FRA,3x3 Basketball,Men,Franck Seguela,athlete,0.13898936055607702,0.07684633182838412,1,0,2,2.0
2028,FRA,3x3 Basketball,Men,Jules Rambaut,athlete,0.13898936055607702,0.07684633182838412,1,0,2,2.0
2028,FRA,3x3 Basketball,Men,Lucas Dussoulier,athlete,0.13898936055607702,0.07684633182838412,1,0,2,2.0
2028,FRA,3x3 Basketball,Men,Timothe Vergiat,athlete,0.13898936055607702,0.07684633182838412,1,0,2,2.0
2028,NED,3x3 Basketball,Men,Arvin Slagter,athlete,0.12228668219707213,0.5328767664368582,1,1,3,1.5
2028,NED,3x3 Basketball,Men,Jan Driessen,athlete,0.12228668219707213,0.5328767664368582,1,1,3,3.0
2028,NED,3x3 Basketball,Men,de Worthy,athlete,0.12228668219707213,0.5328767664368582,1,1,3,3.0
2028,NED,3x3 Basketball,Men,van Dimeo,athlete,0.12228668219707213,0.5328767664368582,1,1,3,1.5
2028,CHN,3x3 Basketball,Women,Mingling Chen,athlete,0.41796480432726435,0.14964772764776088,0,0,0,0.0
2028,FRA,3x3 Basketball,Women,Eve Paget,athlete,0.36402042642378435,0.14284415604862827,0,0,0,0.0
2028,FRA,3x3 Basketball,Women,Hortense Limouzin,athlete,0.36402042642378435,0.14284415604862827,0,0,0,0.0
2028,FRA,3x3 Basketball,Women,Laetitia Guapo,athlete,0.36402042642378435,0.14284415604862827,0,0,0,0.0
2028,FRA,3x3 Basketball,Women,Myriam Djekoundade,athlete,0.36402042642378435,0.14284415604862827,0,0,0,0.0
2028,AZE,3x3 Basketball,Women,Alexandra Mollenhauer,athlete,0.3514538581976112,0.2589729113362654,0,0,0,0.0
2028,AZE,3x3 Basketball,Women,Dina Ulyanova,athlete,0.3514538581976112,0.2589729113362654,0,0,0,0.0
2028,AZE,3x3 Basketball,Women,Marcedes Walker,athlete,0.3514538581976112,0.2589729113362654,0,0,0,0.0
2028,AZE,3x3 Basketball,Women,Tiffany Hayes,athlete,0.3514538581976112,0.2589729113362654,0,0,0,0.0
2028,CAN,3x3 Basketball,Women,Kacie Bosch,athlete,0.3335817822343799,0.23835360833592353,0,0,0,0.0
2028,CAN,3x3 Basketball,Women,Katherine Plouffe,athlete,0.3335817822343799,0.23835360833592353,0,0,0,0.0
2028,CAN,3x3 Basketball,Women,Michelle Plouffe,athlete,0.3335817822343799,0.23835360833592353,0,0,0,0.0
2028,CAN,3x3 Basketball,Women,Paige Crozon,athlete,0.3335817822343799,0.23835360833592353,0,0,0,0.0
2028,AUS,3x3 Basketball,Women,Alex Wilson,athlete,0.3147359873098381,0.2541809492734802,0,0,0,0.0
2028,AUS,3x3 Basketball,Women,Anneli Maley,athlete,0.3147359873098381,0.2541809492734802,0,0,0,0.0
2028,AUS,3x3 Basketball,Women,Lauren Mansfield,athlete,0.3147359873098381,0.2541809492734802,0,0,0,0.0
2028,AUS,3x3 Basketball,Women,Marena Whittle,athlete,0.3147359873098381,0.2541809492734802,0,0,0,0.0
2028,USA,3x3 Basketball,Women,Cierra Burdick,athlete,0.2752282568542867,0.1889428240787085,1,0,1,1.0
2028,USA,3x3 Basketball,Women,Dearica Hamby,athlete,0.2752282568542867,0.1889428240787085,1,0,1,1.0
