NOC,first_medal_probability,expected_total_if_any
SAM,0.388,1.28866
LBN,0.31,1.180645
GUM,0.3,1.066667
ANG,0.296,1.162162
GBS,0.292,1.10274
PNG,0.278,1.129496
PLE,0.266,1.120301
ESA,0.25,1.112
ARU,0.248,1.137097
MLI,0.228,1.096491
NCA,0.204,1.107843
COD,0.202,1.039604
COM,0.196,1.05102
GAM,0.194,1.134021
LBA,0.18,1.1
VAN,0.176,1.022727
SSD,0.166,1.024096
GUI,0.158,1.075949
MAD,0.154,1.155844
RWA,0.15,1.08
MHL,0.148,1.027027
ANT,0.136,1.014706
BIH,0.122,1.114754
LES,0.122,1.0
MLT,0.116,1.034483
AND,0.116,1.034483
HON,0.11,1.018182
LBR,0.104,1.115385
TLS,0.092,1.0
LAO,0.088,1.022727
NEP,0.088,1.045455
BEN,0.084,1.0
IVB,0.082,1.0
CAF,0.082,1.04878
LIE,0.082,1.0
KIR,0.08,1.0
OMA,0.078,1.076923
BAN,0.076,1.052632
VIN,0.072,1.055556
CAY,0.068,1.117647
YEM,0.064,1.03125
BOL,0.062,1.032258
SLE,0.06,1.0
CHA,0.056,1.142857
STP,0.054,1.0
SEY,0.05,1.04
SWZ,0.05,1.0
COK,0.048,1.0
GEQ,0.042,1.047619
SKN,0.038,1.0
ASA,0.036,1.0
MDV,0.036,1.0
BHU,0.034,1.0
CAM,0.034,1.058824
BRU,0.032,1.0
PLW,0.028,1.0
TUV,0.028,1.0
MTN,0.026,1.0
FSM,0.024,1.0
SOM,0.022,1.0
CGO,0.022,1.090909
SOL,0.016,1.0
MYA,0.016,1.0
MAW,0.016,1.125
BIZ,0.012,1.0
NRU,0.012,1.0
