NOC,expected_total,total_interval95_low,total_interval95_high,expected_gold,gold_interval95_low,gold_interval95_high,actual_2024_total,actual_2024_gold
USA,139.928,124.0,155.0,54.762,44.0,65.525,122,39
CHN,92.932,80.0,106.525,36.712,29.0,45.0,91,40
GBR,64.486,53.0,76.0,20.506,14.0,27.0,63,13
AUS,56.342,47.0,66.0,19.708,13.0,27.0,52,18
JPN,49.962,40.0,60.0,19.772,14.0,26.0,45,20
ITA,48.208,37.0,59.0,17.17,11.0,24.0,36,12
FRA,47.776,37.0,58.0,14.73,9.0,21.0,64,16
GER,39.94,31.0,49.0,12.65,7.475,18.0,31,11
NED,32.774,23.0,41.0,12.8,8.0,18.0,34,15
KOR,26.62,20.0,33.0,10.398,6.0,15.0,32,13
BRA,23.038,16.0,30.0,6.384,3.0,11.0,20,3
NZL,19.554,13.0,26.0,7.988,4.0,12.0,20,10
CAN,19.488,13.0,27.0,5.446,2.0,10.0,27,9
HUN,18.54,13.0,24.0,7.016,4.0,11.0,18,6
ESP,17.348,10.0,25.0,4.486,1.0,9.0,18,5
UKR,13.04,8.0,19.0,3.476,0.0,7.0,12,3
POL,11.468,6.0,17.0,3.482,1.0,7.0,10,1
BEL,10.454,7.0,15.0,3.686,1.0,7.0,9,3
DEN,10.328,6.0,14.0,3.678,1.0,7.0,9,2
UZB,9.798,6.0,15.0,4.182,1.0,8.0,13,8
TUR,9.234,5.0,15.0,2.274,0.0,5.525,8,0
SWE,9.158,5.0,15.0,2.314,0.0,5.0,11,4
SUI,9.034,5.0,14.0,2.87,1.0,5.0,8,1
NOR,8.824,5.0,13.0,3.054,0.0,6.0,8,4
ROU,8.708,4.0,13.0,2.752,0.0,6.0,9,3
AUT,8.37,4.0,13.0,3.114,0.0,6.0,5,2
KEN,7.972,4.0,12.0,2.728,0.0,6.0,11,4
CZE,7.872,3.0,13.0,2.712,0.0,6.0,5,3
CUB,7.786,4.0,12.0,2.658,0.0,6.0,9,2
IRI,7.452,4.0,12.0,2.438,0.0,6.0,12,3
KAZ,7.438,3.0,12.525,2.14,0.0,5.0,7,1
SRB,7.106,4.0,12.0,1.876,1.0,4.0,5,3
JAM,6.978,3.0,11.0,2.362,0.0,5.0,6,1
BUL,6.268,3.0,10.0,2.034,0.0,5.0,7,3
CRO,6.128,2.0,11.0,2.122,0.0,5.0,7,2
IRL,5.932,3.0,10.0,2.04,0.0,5.0,5,3
AZE,5.888,2.0,10.0,1.522,0.0,4.0,7,2
GEO,5.48,2.0,9.0,2.052,0.0,5.0,7,3
TPE,5.418,2.0,9.0,1.522,0.0,3.0,7,2
ISR,5.234,2.0,10.0,1.376,0.0,3.525,7,1
COL,5.18,2.0,9.0,1.52,0.0,4.0,4,0
GRE,5.164,1.475,9.0,1.312,0.0,4.0,8,1
RSA,4.866,2.0,9.0,1.23,0.0,3.0,6,1
THA,4.824,2.0,8.0,1.87,0.0,4.525,6,1
SLO,4.738,2.0,9.0,2.098,0.0,5.0,3,2
IND,4.602,1.0,9.0,0.964,0.0,3.0,6,0
NGR,4.514,2.0,8.0,2.616,2.0,4.0,0,0
MEX,4.324,1.0,8.0,0.84,0.0,3.0,5,0
POR,4.14,1.0,8.0,1.02,0.0,3.0,4,1
INA,4.074,1.0,7.0,1.582,0.0,4.0,3,2
EGY,4.032,1.0,8.0,1.348,0.0,4.0,3,1
ETH,3.896,1.0,7.0,1.354,0.0,3.0,4,1
TUN,3.694,1.0,7.0,1.408,0.0,4.0,3,1
ECU,3.662,1.0,7.0,1.258,0.0,3.0,5,1
PHI,3.59,1.0,7.0,1.656,0.0,4.0,4,2
HKG,3.37,1.0,6.0,0.986,0.0,3.0,4,2
AIN,3.312,1.0,7.0,0.944,0.0,3.0,5,1
KGZ,3.066,0.475,6.0,0.666,0.0,3.0,6,0
ALG,2.902,0.0,6.0,0.964,0.0,3.0,3,2
PRK,2.728,0.0,6.0,0.54,0.0,2.0,6,0
MAR,2.69,0.475,5.0,0.902,0.0,3.0,2,1
