road_name,station_id,aadt_current,lanes,aadt_per_lane,functional_class
RAMP 6 FR IS 70 EB TO IS 695 SB,V2013000177,42491,1,42491.0,Interstate
RAMP 4 FR IS 795 NB TO MD 940 EB,V2013000308,32420,1,32420.0,Interstate
RAMP 4 FR IS 795 NB TO MD 940 EB,V2013000307,32420,1,32420.0,Interstate
BALTO BELTWAY,B030038,221282,8,27660.25,Interstate
BALTO BELTWAY,B1194,165202,6,27533.67,Interstate
BALTO BELTWAY,B1213,188932,7,26990.29,Interstate
BALTO BELTWAY,P0078,188084,7,26869.14,Interstate
BALTO BELTWAY,B1099,161050,6,26841.67,Interstate
BALTO BELTWAY,P0032,183437,7,26205.29,Interstate
FORT MCHENRY TUNNEL,B240123,182984,7,26140.57,Interstate
BALTO BELTWAY,B1103,156430,6,26071.67,Interstate
NO NAME,B0983,206491,8,25811.38,Interstate
