countryiso3code,country,indicator_id,indicator_name,year,value,unit,sourceid,lastupdated,api_url
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2025,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2024,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2023,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2022,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2021,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2020,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2019,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2018,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2017,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2016,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2015,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2014,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2013,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2012,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2011,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2010,41.5907220090687,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2009,41.464269271015,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2008,41.3378165329613,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2007,41.2113637949076,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2006,41.0849110568539,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2005,40.9584583188001,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2004,40.8320055807464,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2003,40.7055528426927,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2002,40.579100104639,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2001,40.4526473665853,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),2000,40.3261946285316,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1999,40.3488391608392,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1998,40.2727832167832,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1997,40.1967272727273,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1996,40.1206713286713,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1995,40.0446153846154,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1994,39.9685594405594,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1993,39.8925034965035,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1992,39.8164475524475,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1991,39.7403916083916,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1990,39.6643356643357,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1989,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1988,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1987,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1986,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1985,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1984,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1983,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1982,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1981,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1980,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1979,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1978,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1977,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1976,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1975,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1974,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1973,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1972,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1971,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
NPL,Nepal,AG.LND.FRST.ZS,Forest area (% of land area),1970,,,2,2026-04-08,https://api.worldbank.org/v2/country/NPL/indicator/AG.LND.FRST.ZS?format=json&per_page=100
