minute,near_faucet_c,middle_c,overflow_end_c,mean_c,spatial_range_c
0.0,40.0,40.0,40.0,40.0,0.0
2.0,41.6388,39.4662,39.4662,39.6263,2.1725
4.0,42.3838,38.9505,38.9505,39.2752,3.4333
6.0,42.8204,38.4523,38.4522,38.9456,4.3682
8.0,43.1069,37.9722,37.9707,38.6366,5.1362
10.0,43.3068,37.5132,37.5054,38.347,5.8014
12.0,43.4519,37.0797,37.0559,38.076,6.396
14.0,43.5602,36.6764,36.6215,37.8225,6.9386
16.0,43.6425,36.3065,36.2018,37.5858,7.4407
18.0,43.7062,35.9715,35.7964,37.3649,7.9097
20.0,43.756,35.6712,35.4049,37.1591,8.351
22.0,43.7953,35.404,35.0271,36.9676,8.7681
24.0,43.8266,35.1678,34.6629,36.7897,9.1636
26.0,43.8517,34.9598,34.3124,36.6246,9.5392
28.0,43.8719,34.7772,33.9758,36.4716,9.8961
30.0,43.8883,34.6172,33.6532,36.3301,10.235
32.0,43.9016,34.4772,33.3451,36.1994,10.5565
34.0,43.9124,34.3546,33.0516,36.0789,10.8608
36.0,43.9213,34.2472,32.773,35.9679,11.1483
38.0,43.9286,34.1532,32.5094,35.8658,11.4192
40.0,43.9346,34.0708,32.2608,35.772,11.6737
