year_after_start,freshwater_withdrawal_pct_internal_resources,no_intervention_stress_index,status,intervention_stress_index
0,139.277,1.392771,critical,1.392771
1,145.25,1.452501,critical,1.377501
2,151.479,1.514792,critical,1.364793
3,157.976,1.579755,critical,1.354757
4,164.75,1.647504,critical,1.347506
5,171.816,1.718158,critical,1.343161
6,179.184,1.791842,critical,1.341846
7,186.869,1.868687,critical,1.343691
8,194.883,1.948826,critical,1.348832
9,203.24,2.032403,critical,1.35741
10,211.956,2.119564,critical,1.369572
11,221.046,2.210463,critical,1.385472
12,230.526,2.30526,critical,1.40527
13,240.412,2.404122,critical,1.429134
14,250.722,2.507225,critical,1.457237
15,261.475,2.614749,critical,1.489763
