countryiso3code,country,indicator_id,indicator_name,year,value,unit,sourceid,lastupdated,api_url
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2025,,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2024,,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2023,,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2022,51.64545734,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2021,51.64545734,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2020,51.64545734,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2019,51.64545734,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2018,52.24823486,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2017,52.37281701,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2016,53.12709511,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2015,51.03256553,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2014,53.46767094,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2013,53.38512764,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2012,54.41696113,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2011,56.93471249,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2010,56.10302352,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2009,57.93742758,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2008,61.85344828,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2007,63.19742489,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2006,64.1221374,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2005,64.95908173,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2004,62.90697674,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2003,62.93532338,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2002,64.38356164,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2001,63.5770235,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2000,66.21787026,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1999,67.49216769,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
JOR,Jordan,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1998,68.70451237,,2,2026-04-08,https://api.worldbank.org/v2/country/JOR/indicator/ER.H2O.FWAG.ZS?format=json&per_page=100
