dam_count,storage_index,flood_attenuation_index,low_flow_support_index,redundancy_index,water_management_index,normalized_cost,safety_cost_balance,meets_kariba_reference
10,89.933606,60.871668,75.841361,77.0,76.456535,94.0,36.976535,False
11,97.172639,66.573741,81.266324,81.2,82.415811,104.02,38.727411,False
12,104.303786,72.249991,86.558506,85.4,88.303024,114.48,40.221424,False
13,111.344342,77.903027,91.73919,89.6,94.129266,125.38,41.469666,False
14,118.0,83.535013,96.824917,93.8,99.795487,136.72,42.373087,False
15,118.0,89.147773,101.828803,98.0,103.110093,148.5,40.740093,True
16,118.0,94.742861,106.76142,102.2,106.405142,160.72,38.902742,True
17,118.0,100.321617,111.631414,106.4,107.882768,173.38,35.063168,True
18,118.0,105.885208,112.0,110.6,108.455562,186.48,30.133962,True
19,118.0,111.434655,112.0,114.8,108.950396,200.02,24.941996,True
20,118.0,116.970863,112.0,119.0,109.441259,214.0,19.561259,True
