citizen_id,age,gender_group,education_level,workforce_group,household_type,innovation_role
1,22,women,secondary,life_support_operators,single,innovator
2,29,men,technical,habitat_builders,couple_no_children,producer
3,36,nonbinary,bachelor,scientists_and_engineers,family_with_children,producer
4,43,women,graduate,care_education_civic,shared_household,producer
5,50,men,secondary,food_and_resource_producers,single,producer
6,57,nonbinary,technical,life_support_operators,couple_no_children,innovator
7,27,women,bachelor,habitat_builders,family_with_children,producer
8,34,men,graduate,scientists_and_engineers,shared_household,producer
9,41,nonbinary,secondary,care_education_civic,single,producer
10,48,women,technical,food_and_resource_producers,couple_no_children,producer
11,55,men,bachelor,life_support_operators,family_with_children,innovator
12,25,nonbinary,graduate,habitat_builders,shared_household,producer
13,32,women,secondary,scientists_and_engineers,single,producer
14,39,men,technical,care_education_civic,couple_no_children,producer
15,46,nonbinary,bachelor,food_and_resource_producers,family_with_children,producer
16,53,women,graduate,life_support_operators,shared_household,innovator
17,23,men,secondary,habitat_builders,single,producer
18,30,nonbinary,technical,scientists_and_engineers,couple_no_children,producer
19,37,women,bachelor,care_education_civic,family_with_children,producer
20,44,men,graduate,food_and_resource_producers,shared_household,producer
21,51,nonbinary,secondary,life_support_operators,single,innovator
22,58,women,technical,habitat_builders,couple_no_children,producer
23,28,men,bachelor,scientists_and_engineers,family_with_children,producer
24,35,nonbinary,graduate,care_education_civic,shared_household,producer
25,42,women,secondary,food_and_resource_producers,single,producer
26,49,men,technical,life_support_operators,couple_no_children,innovator
27,56,nonbinary,bachelor,habitat_builders,family_with_children,producer
28,26,women,graduate,scientists_and_engineers,shared_household,producer
29,33,men,secondary,care_education_civic,single,producer
30,40,nonbinary,technical,food_and_resource_producers,couple_no_children,producer
31,47,women,bachelor,life_support_operators,family_with_children,innovator
32,54,men,graduate,habitat_builders,shared_household,producer
33,24,nonbinary,secondary,scientists_and_engineers,single,producer
34,31,women,technical,care_education_civic,couple_no_children,producer
35,38,men,bachelor,food_and_resource_producers,family_with_children,producer
36,45,nonbinary,graduate,life_support_operators,shared_household,innovator
37,52,women,secondary,habitat_builders,single,producer
38,22,men,technical,scientists_and_engineers,couple_no_children,producer
