takeoff_angle_deg,hops,single_hop_km,maximum_path_km_calm_ocean
5,1,2568.235,2568.235
5,2,2568.235,5136.471
5,3,2568.235,7704.706
5,4,2568.235,10272.941
5,5,2568.235,12841.177
5,6,2568.235,15409.412
8,1,2148.144,2148.144
8,2,2148.144,4296.288
8,3,2148.144,6444.432
8,4,2148.144,8592.576
8,5,2148.144,10740.72
8,6,2148.144,12888.863
12,1,1722.086,1722.086
12,2,1722.086,3444.172
12,3,1722.086,5166.258
12,4,1722.086,6888.345
12,5,1722.086,8610.431
12,6,1722.086,10332.517
16,1,1409.242,1409.242
16,2,1409.242,2818.484
16,3,1409.242,4227.726
16,4,1409.242,5636.967
16,5,1409.242,7046.209
16,6,1409.242,8455.451
20,1,1174.832,1174.832
20,2,1174.832,2349.664
20,3,1174.832,3524.497
20,4,1174.832,4699.329
20,5,1174.832,5874.161
20,6,1174.832,7048.993
25,1,955.819,955.819
25,2,955.819,1911.638
25,3,955.819,2867.458
25,4,955.819,3823.277
25,5,955.819,4779.096
25,6,955.819,5734.915
