FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
39061,OH,HAMILTON,909.440476,9995.0,11277.99,high,768.631,0.8258
39035,OH,CUYAHOGA,859.738095,7381.0,9042.05,high,456.5893,0.9302
42101,PA,PHILADELPHIA,337.380952,9156.0,8544.23,high,790.6756,0.3714
42003,PA,ALLEGHENY,258.72619,4653.0,5830.85,high,230.9435,0.8404
39049,OH,FRANKLIN,322.988095,3016.0,4292.05,high,201.372,0.912
39113,OH,MONTGOMERY,239.511905,3560.0,4278.2,high,156.3958,0.8813
39085,OH,LAKE,265.797619,2127.0,2922.56,high,141.375,0.9049
42045,PA,DELAWARE,118.166667,1667.0,2119.83,high,62.7083,0.9195
21111,KY,JEFFERSON,45.678571,2124.0,2044.29,high,210.9911,0.1837
39017,OH,BUTLER,109.285714,1275.0,1616.11,high,66.0,0.9047
39151,OH,STARK,150.97619,1155.0,1529.85,high,186.753,0.7058
39093,OH,LORAIN,174.178571,1072.0,1525.29,high,188.5268,0.7645
42133,PA,YORK,101.940476,1168.0,1518.24,high,67.9167,0.8911
51087,VA,HENRICO,124.22619,1039.0,1391.6,high,53.2589,0.9566
42079,PA,LUZERNE,93.892857,1025.0,1380.43,high,104.5982,0.6947
42043,PA,DAUPHIN,107.988095,1145.0,1334.05,high,111.881,0.8046
39153,OH,SUMMIT,112.238095,1175.0,1273.3,high,117.0863,0.7845
42071,PA,LANCASTER,78.904762,1076.0,1091.88,high,95.8155,0.7157
39155,OH,TRUMBULL,80.97619,845.0,1062.85,high,29.5089,0.9637
51041,VA,CHESTERFIELD,84.119048,727.0,1052.52,high,39.9524,0.9345
39099,OH,MAHONING,36.47619,703.0,958.1,high,83.4286,0.4487
21067,KY,FAYETTE,43.369048,938.0,947.02,high,102.3274,0.3757
51059,VA,FAIRFAX,50.857143,802.0,943.07,high,65.8036,0.7055
39095,OH,LUCAS,21.416667,798.0,864.58,high,82.0625,0.178
21117,KY,KENTON,36.702381,778.0,845.44,high,62.125,0.6019
21037,KY,CAMPBELL,48.666667,534.0,821.58,high,87.75,0.5568
42011,PA,BERKS,50.833333,563.0,797.17,high,49.0417,0.8271
42075,PA,LEBANON,72.190476,561.0,760.49,high,32.9048,0.9525
51153,VA,PRINCE WILLIAM,37.130952,577.0,712.23,high,58.625,0.6145
42029,PA,CHESTER,44.928571,563.0,703.79,high,25.8393,0.8966
42107,PA,SCHUYLKILL,57.0,415.0,690.0,high,58.0,0.761
39007,OH,ASHTABULA,57.761905,445.0,685.95,high,30.9286,0.9283
