calendar_year,year_from_start,species,scenario,warming_c,northward_shift_km,habitat_center_lat,distance_from_scottish_small_fleet_km,within_small_boat_range
2020,0,Scottish herring,best_case_slow_warming,0.0,0.0,58.0,75.0,True
2025,5,Scottish herring,best_case_slow_warming,0.08,8.433,58.076,83.433,True
2030,10,Scottish herring,best_case_slow_warming,0.16,16.865,58.1519,91.865,True
2035,15,Scottish herring,best_case_slow_warming,0.24,25.298,58.2279,100.298,True
2040,20,Scottish herring,best_case_slow_warming,0.32,33.731,58.3039,108.731,True
2045,25,Scottish herring,best_case_slow_warming,0.4,42.163,58.3798,117.163,True
2050,30,Scottish herring,best_case_slow_warming,0.48,50.596,58.4558,125.596,True
2055,35,Scottish herring,best_case_slow_warming,0.56,59.028,58.5318,134.028,False
2060,40,Scottish herring,best_case_slow_warming,0.64,67.461,58.6078,142.461,False
2065,45,Scottish herring,best_case_slow_warming,0.72,75.894,58.6837,150.894,False
2070,50,Scottish herring,best_case_slow_warming,0.8,84.326,58.7597,159.326,False
2020,0,Scottish herring,most_likely_warming,0.0,0.0,58.0,75.0,True
2025,5,Scottish herring,most_likely_warming,0.16,16.865,58.1519,91.865,True
2030,10,Scottish herring,most_likely_warming,0.32,33.731,58.3039,108.731,True
2035,15,Scottish herring,most_likely_warming,0.48,50.596,58.4558,125.596,True
2040,20,Scottish herring,most_likely_warming,0.64,67.461,58.6078,142.461,False
2045,25,Scottish herring,most_likely_warming,0.8,84.326,58.7597,159.326,False
2050,30,Scottish herring,most_likely_warming,0.96,101.192,58.9116,176.192,False
2055,35,Scottish herring,most_likely_warming,1.12,118.057,59.0636,193.057,False
2060,40,Scottish herring,most_likely_warming,1.28,134.922,59.2155,209.922,False
2065,45,Scottish herring,most_likely_warming,1.44,151.788,59.3675,226.788,False
2070,50,Scottish herring,most_likely_warming,1.6,168.653,59.5194,243.653,False
2020,0,Scottish herring,worst_case_fast_warming,0.0,0.0,58.0,75.0,True
2025,5,Scottish herring,worst_case_fast_warming,0.26,27.406,58.2469,102.406,True
2030,10,Scottish herring,worst_case_fast_warming,0.52,54.812,58.4938,129.812,True
2035,15,Scottish herring,worst_case_fast_warming,0.78,82.218,58.7407,157.218,False
2040,20,Scottish herring,worst_case_fast_warming,1.04,109.624,58.9876,184.624,False
2045,25,Scottish herring,worst_case_fast_warming,1.3,137.03,59.2345,212.03,False
2050,30,Scottish herring,worst_case_fast_warming,1.56,164.436,59.4814,239.436,False
2055,35,Scottish herring,worst_case_fast_warming,1.82,191.843,59.7283,266.843,False
2060,40,Scottish herring,worst_case_fast_warming,2.08,219.249,59.9752,294.249,False
2065,45,Scottish herring,worst_case_fast_warming,2.34,246.655,60.2221,321.655,False
2070,50,Scottish herring,worst_case_fast_warming,2.6,274.061,60.469,349.061,False
2020,0,Scottish mackerel,best_case_slow_warming,0.0,0.0,57.0,95.0,True
2025,5,Scottish mackerel,best_case_slow_warming,0.08,11.368,57.1024,106.368,True
