shape,water_fraction,wave_exposure,erosion_rate_index,construction_score,expected_lifetime_hours,rain_case,rain_intensity_mm_hr,duration_hours
low circular mound,0.12,0.871,0.54,0.92,22.854,no rain,0.0,0.0
truncated cone,0.12,0.9818,0.6691,0.86,18.443,no rain,0.0,0.0
hemisphere,0.12,0.9784,0.7571,0.72,16.301,no rain,0.0,0.0
low circular mound,0.12,0.871,0.588,0.92,20.988,light shower,1.5,1.0
truncated cone,0.12,0.9818,0.7233,0.86,17.063,light shower,1.5,1.0
hemisphere,0.12,0.9784,0.811,0.72,15.217,light shower,1.5,1.0
low circular mound,0.12,0.871,0.7961,0.92,15.503,steady rain,4.0,2.0
truncated cone,0.12,0.9818,0.9578,0.86,12.885,steady rain,4.0,2.0
hemisphere,0.12,0.9784,1.0447,0.72,11.813,steady rain,4.0,2.0
low circular mound,0.12,0.871,0.8281,0.92,14.904,heavy burst,12.0,0.75
truncated cone,0.12,0.9818,0.9939,0.86,12.417,heavy burst,12.0,0.75
hemisphere,0.12,0.9784,1.0807,0.72,11.42,heavy burst,12.0,0.75
