product_file,descriptor,matching_reviews,match_share,mean_rating_when_present,mean_rating_lift,mean_helpfulness_when_present
hair_dryer.tsv,enthusiastic,6494,0.5662,4.5773,0.4613,0.2807
hair_dryer.tsv,easy,1165,0.1016,4.4918,0.3758,0.3115
hair_dryer.tsv,durable,1805,0.1574,3.7867,-0.3293,0.3626
hair_dryer.tsv,disappointed,883,0.077,2.5866,-1.5294,0.4604
hair_dryer.tsv,broken,808,0.0704,2.3144,-1.8017,0.4102
microwave.tsv,enthusiastic,744,0.4607,4.2231,0.7785,0.5057
microwave.tsv,easy,262,0.1622,4.2214,0.7768,0.5781
microwave.tsv,durable,264,0.1635,2.5492,-0.8953,0.6102
microwave.tsv,broken,226,0.1399,1.9159,-1.5287,0.6477
microwave.tsv,disappointed,211,0.1307,1.8957,-1.5488,0.6068
pacifier.tsv,enthusiastic,11509,0.6077,4.658,0.3535,0.1789
pacifier.tsv,easy,2446,0.1292,4.6043,0.2997,0.2269
pacifier.tsv,durable,1684,0.0889,4.1105,-0.1941,0.2975
pacifier.tsv,broken,512,0.027,2.7148,-1.5897,0.3542
pacifier.tsv,disappointed,1059,0.0559,2.6969,-1.6077,0.326
