player,position,weighted_out_degree,weighted_in_degree,pagerank,betweenness,teamwork_centrality
Huskies_M1,M,1255,1017,0.089594,0.029686,0.088349
Huskies_F2,F,859,927,0.081094,0.015097,0.068323
Huskies_M3,M,887,717,0.062069,0.020334,0.061749
Huskies_D1,D,851,678,0.055192,0.025639,0.058507
Huskies_D3,D,727,582,0.049954,0.023575,0.051578
Huskies_D5,D,625,581,0.052494,0.013418,0.047269
Huskies_D4,D,569,615,0.054918,0.014144,0.046626
Huskies_M6,M,508,537,0.05317,0.017747,0.044515
Huskies_M4,M,497,521,0.050837,0.019296,0.043406
Huskies_D2,D,580,467,0.03979,0.017384,0.040836
Huskies_G1,G,473,496,0.039186,0.013176,0.036134
Huskies_D7,D,408,449,0.043783,0.00944,0.035275
Huskies_F1,F,238,473,0.043749,0.01723,0.031116
Huskies_D6,D,322,327,0.030156,0.013455,0.027061
Huskies_F6,F,223,295,0.030692,0.005489,0.022389
Huskies_D8,D,263,287,0.028822,0.002353,0.022262
Huskies_F4,F,125,289,0.029981,0.009044,0.019493
Huskies_F5,F,158,223,0.02474,0.007183,0.017869
Huskies_M12,M,134,215,0.022525,0.001964,0.015023
Huskies_M8,M,137,177,0.020323,0.002415,0.014224
Huskies_M9,M,130,142,0.017294,0.005194,0.013182
Huskies_M2,M,76,69,0.010825,0.001124,0.007645
Huskies_F3,F,56,73,0.011236,0.00174,0.007282
Huskies_M13,M,74,57,0.009937,0.000274,0.007008
Huskies_M11,M,65,50,0.009253,0.001943,0.006733
Huskies_D9,D,57,41,0.008056,0.000293,0.005596
Huskies_M5,M,42,41,0.008532,0.000276,0.005303
Huskies_M10,M,36,40,0.00845,0.000344,0.005079
Huskies_D10,D,38,31,0.007063,8.2e-05,0.00447
Huskies_M7,M,22,18,0.006286,6.8e-05,0.00358
