origin,destination,origin_position,destination_position,pass_count
Huskies_M1,Huskies_F2,M,F,182
Huskies_M3,Huskies_M1,M,M,168
Huskies_M1,Huskies_M3,M,M,143
Huskies_D3,Huskies_G1,D,G,120
Huskies_F2,Huskies_M1,F,M,117
Huskies_D1,Huskies_G1,D,G,107
Huskies_D1,Huskies_D3,D,D,105
Huskies_D3,Huskies_D1,D,D,98
Huskies_D5,Huskies_F2,D,F,97
Huskies_D1,Huskies_M1,D,M,92
Huskies_M3,Huskies_D4,M,D,88
Huskies_M1,Huskies_D1,M,D,85
Huskies_F2,Huskies_D5,F,D,84
Huskies_M1,Huskies_D5,M,D,79
Huskies_M1,Huskies_D4,M,D,79
Huskies_M1,Huskies_M6,M,M,77
Huskies_G1,Huskies_F1,G,F,77
Huskies_G1,Huskies_D1,G,D,76
Huskies_D5,Huskies_M1,D,M,75
Huskies_M3,Huskies_D1,M,D,74
Huskies_D1,Huskies_D4,D,D,73
Huskies_M1,Huskies_M4,M,M,72
Huskies_M4,Huskies_M1,M,M,71
Huskies_M6,Huskies_D5,M,D,71
Huskies_M1,Huskies_D7,M,D,70
Huskies_D5,Huskies_M3,D,M,69
Huskies_M3,Huskies_D5,M,D,67
Huskies_D5,Huskies_M6,D,M,67
Huskies_D4,Huskies_F2,D,F,66
Huskies_F2,Huskies_D4,F,D,64
Huskies_M1,Huskies_D2,M,D,63
Huskies_D4,Huskies_M3,D,M,63
Huskies_M3,Huskies_F2,M,F,63
Huskies_D2,Huskies_D1,D,D,62
Huskies_D4,Huskies_M1,D,M,62
Huskies_D2,Huskies_G1,D,G,62
Huskies_M1,Huskies_D3,M,D,60
Huskies_D3,Huskies_D4,D,D,59
Huskies_D1,Huskies_D2,D,D,59
Huskies_F2,Huskies_M6,F,M,58
Huskies_F2,Huskies_M3,F,M,58
Huskies_D4,Huskies_D1,D,D,57
Huskies_D1,Huskies_D5,D,D,57
Huskies_D2,Huskies_F2,D,F,56
Huskies_F2,Huskies_D3,F,D,56
Huskies_M3,Huskies_D3,M,D,56
Huskies_F2,Huskies_D1,F,D,55
Huskies_D3,Huskies_M3,D,M,54
Huskies_M6,Huskies_M1,M,M,54
Huskies_M1,Huskies_D6,M,D,54
Huskies_M6,Huskies_F2,M,F,52
Huskies_D2,Huskies_D6,D,D,52
Huskies_D1,Huskies_M3,D,M,51
