environment,variability_multiplier,day,moisture_index,remaining_litter_mass,cumulative_mass_loss_pct,richness_alive,shannon_diversity,dominant_species
arid,1.0,0,0.2439,96.7108,3.2892,5,1.6019,fast opportunist
arid,1.0,5,0.2884,92.2166,7.7834,5,1.5831,fast opportunist
arid,1.0,10,0.2854,87.5375,12.4625,5,1.555,fast opportunist
arid,1.0,15,0.2549,83.2934,16.7066,5,1.5181,fast opportunist
arid,1.0,20,0.2352,79.2992,20.7008,5,1.4741,fast opportunist
arid,1.0,25,0.2531,74.8319,25.1681,5,1.4277,fast opportunist
arid,1.0,30,0.3028,69.4343,30.5657,5,1.3827,fast opportunist
arid,1.0,35,0.3498,64.6399,35.3601,5,1.3476,fast opportunist
arid,1.0,40,0.3567,60.1205,39.8795,5,1.3143,fast opportunist
arid,1.0,45,0.3116,55.3681,44.6319,5,1.271,fast opportunist
arid,1.0,50,0.2373,51.7663,48.2337,5,1.2224,fast opportunist
arid,1.0,55,0.175,49.2396,50.7604,4,1.1715,fast opportunist
arid,1.0,60,0.1543,47.0574,52.9426,3,1.1211,fast opportunist
arid,1.0,65,0.1718,44.6438,55.3562,2,1.0747,fast opportunist
arid,1.0,70,0.1953,41.9529,58.0471,2,1.0327,fast opportunist
arid,1.0,75,0.1889,39.454,60.546,2,0.993,fast opportunist
arid,1.0,80,0.1415,37.669,62.331,2,0.9538,fast opportunist
arid,1.0,85,0.0762,36.7318,63.2682,1,0.9166,fast opportunist
arid,1.0,90,0.0335,36.3099,63.6901,1,0.887,fast opportunist
arid,1.0,95,0.0416,35.7918,64.2082,1,0.857,fast opportunist
arid,1.0,100,0.0955,34.6271,65.3729,1,0.8277,fast opportunist
arid,1.0,105,0.1604,32.7172,67.2828,1,0.8014,fast opportunist
arid,1.0,110,0.1977,30.4617,69.5383,1,0.7791,fast opportunist
arid,1.0,115,0.1934,28.3908,71.6092,1,0.7587,fast opportunist
arid,1.0,120,0.1678,26.7079,73.2921,1,0.7391,fast opportunist
arid,1.0,125,0.1587,25.2012,74.7988,1,0.7209,fast opportunist
arid,1.0,130,0.1922,23.4641,76.5359,1,0.7057,fast opportunist
arid,1.0,135,0.2616,21.2438,78.7562,1,0.694,fast opportunist
arid,1.0,140,0.3309,19.1424,80.8576,1,0.6877,fast opportunist
arid,1.0,145,0.3615,17.4404,82.5596,1,0.6861,fast opportunist
arid,1.0,150,0.3397,15.7626,84.2374,1,0.6816,fast opportunist
arid,1.0,155,0.2868,14.1124,85.8876,1,0.6726,fast opportunist
arid,1.0,160,0.2427,12.8627,87.1373,1,0.6631,fast opportunist
arid,1.0,165,0.2357,11.7543,88.2457,1,0.6543,fast opportunist
arid,1.0,170,0.2616,10.6251,89.3749,1,0.6471,fast opportunist
arid,1.0,175,0.2875,9.4994,90.5006,1,0.6413,fast opportunist
arid,1.0,180,0.2775,8.5271,91.4729,1,0.6358,fast opportunist
arid,1.0,185,0.2206,7.8343,92.1657,1,0.6292,fast opportunist
arid,1.0,190,0.1406,7.4285,92.5715,1,0.6216,fast opportunist
arid,1.0,195,0.0789,7.2106,92.7894,1,0.6149,fast opportunist
arid,1.0,200,0.0651,7.0351,92.9649,1,0.6091,fast opportunist
arid,1.0,205,0.0955,6.7852,93.2148,1,0.6036,fast opportunist
arid,1.0,210,0.1369,6.4406,93.5594,1,0.5986,fast opportunist
arid,1.0,215,0.1522,6.0766,93.9234,1,0.594,fast opportunist
arid,1.0,220,0.129,5.7847,94.2153,1,0.59,fast opportunist
arid,1.0,225,0.0887,5.5926,94.4074,1,0.5867,fast opportunist
arid,1.0,230,0.0701,5.4451,94.5549,1,0.5839,fast opportunist
arid,1.0,235,0.1,5.2413,94.7587,1,0.5811,fast opportunist
arid,1.0,240,0.1718,4.9055,95.0945,1,0.5787,fast opportunist
arid,1.0,245,0.2495,4.4479,95.5521,1,0.5782,fast opportunist
arid,1.0,250,0.2938,3.9582,96.0418,1,0.5788,fast opportunist
arid,1.0,255,0.2902,3.5279,96.4721,1,0.5793,fast opportunist
arid,1.0,260,0.2588,3.1864,96.8136,1,0.579,fast opportunist
arid,1.0,265,0.238,2.903,97.097,1,0.5781,fast opportunist
arid,1.0,270,0.2546,2.6265,97.3735,1,0.5779,fast opportunist
arid,1.0,275,0.3028,2.3337,97.6663,1,0.5789,fast opportunist
arid,1.0,280,0.3484,2.111,97.889,1,0.5839,fast opportunist
arid,1.0,285,0.354,1.9139,98.0861,1,0.589,fast opportunist
arid,1.0,290,0.3077,1.7045,98.2955,1,0.5892,fast opportunist
arid,1.0,295,0.2325,1.5568,98.4432,1,0.5871,fast opportunist
arid,1.0,300,0.1697,1.4585,98.5415,1,0.5839,fast opportunist
arid,1.0,305,0.1487,1.3777,98.6223,1,0.5807,fast opportunist
arid,1.0,310,0.1663,1.2922,98.7078,1,0.5782,fast opportunist
arid,1.0,315,0.1903,1.2004,98.7996,1,0.5765,fast opportunist
arid,1.0,320,0.1848,1.1175,98.8825,1,0.5749,fast opportunist
arid,1.0,325,0.1385,1.0597,98.9403,1,0.5728,fast opportunist
arid,1.0,330,0.0745,1.0299,98.9701,1,0.5715,fast opportunist
arid,1.0,335,0.0332,1.0166,98.9834,1,0.5739,fast opportunist
arid,1.0,340,0.0428,1.0,99.0,1,0.5742,fast opportunist
arid,1.0,345,0.098,0.9632,99.0368,1,0.5723,fast opportunist
arid,1.0,350,0.1641,0.9042,99.0958,1,0.5705,fast opportunist
arid,1.0,355,0.2023,0.8358,99.1642,1,0.5697,fast opportunist
arid,1.0,360,0.1987,0.7737,99.2263,1,0.569,fast opportunist
arid,1.0,365,0.1733,0.7236,99.2764,1,0.5678,fast opportunist
semi-arid,1.0,0,0.3836,95.0912,4.9088,5,1.6071,fast opportunist
semi-arid,1.0,5,0.4176,90.1594,9.8406,5,1.6022,fast opportunist
semi-arid,1.0,10,0.4153,85.3494,14.6506,5,1.5952,fast opportunist
semi-arid,1.0,15,0.392,80.6778,19.3222,5,1.5847,fast opportunist
semi-arid,1.0,20,0.3769,76.1114,23.8886,5,1.5709,fast opportunist
semi-arid,1.0,25,0.3906,71.675,28.325,5,1.5565,fast opportunist
semi-arid,1.0,30,0.4286,67.5261,32.4739,5,1.5458,fast opportunist
semi-arid,1.0,35,0.4645,63.8571,36.1429,5,1.5397,fast opportunist
semi-arid,1.0,40,0.4699,60.396,39.604,5,1.5343,fast opportunist
semi-arid,1.0,45,0.4354,56.842,43.158,5,1.5248,fast opportunist
semi-arid,1.0,50,0.3786,53.2655,46.7345,5,1.508,fast opportunist
semi-arid,1.0,55,0.3309,49.7103,50.2897,5,1.483,fast opportunist
semi-arid,1.0,60,0.315,46.1956,53.8044,5,1.4528,fast opportunist
semi-arid,1.0,65,0.3284,42.8299,57.1701,5,1.4227,fast opportunist
semi-arid,1.0,70,0.3464,39.6776,60.3224,4,1.3948,fast opportunist
semi-arid,1.0,75,0.3415,36.6548,63.3452,4,1.3651,fast opportunist
semi-arid,1.0,80,0.3053,33.6031,66.3969,3,1.3273,fast opportunist
semi-arid,1.0,85,0.2553,31.1508,68.8492,3,1.2853,fast opportunist
semi-arid,1.0,90,0.2227,29.1186,70.8814,3,1.2412,fast opportunist
semi-arid,1.0,95,0.2289,27.0881,72.9119,3,1.198,fast opportunist
semi-arid,1.0,100,0.2701,24.7566,75.2434,3,1.1585,fast opportunist
semi-arid,1.0,105,0.3197,22.4247,77.5753,3,1.1255,fast opportunist
semi-arid,1.0,110,0.3482,20.4292,79.5708,3,1.0998,fast opportunist
semi-arid,1.0,115,0.345,18.5742,81.4258,3,1.0743,fast opportunist
semi-arid,1.0,120,0.3253,16.775,83.225,3,1.0456,fast opportunist
semi-arid,1.0,125,0.3184,15.0979,84.9021,3,1.0167,fast opportunist
semi-arid,1.0,130,0.3441,13.6766,86.3234,2,0.9943,fast opportunist
semi-arid,1.0,135,0.3971,12.5845,87.4155,2,0.986,fast opportunist
semi-arid,1.0,140,0.4501,11.7828,88.2172,2,0.9939,fast opportunist
semi-arid,1.0,145,0.4735,11.1211,88.8789,3,1.01,fast opportunist
semi-arid,1.0,150,0.4568,10.438,89.562,3,1.0191,fast opportunist
semi-arid,1.0,155,0.4164,9.6664,90.3336,3,1.0156,fast opportunist
semi-arid,1.0,160,0.3827,8.8607,91.1393,3,1.0021,fast opportunist
semi-arid,1.0,165,0.3773,8.1058,91.8942,3,0.9876,fast opportunist
semi-arid,1.0,170,0.3971,7.4584,92.5416,2,0.9792,fast opportunist
semi-arid,1.0,175,0.4169,6.9043,93.0957,2,0.9772,fast opportunist
semi-arid,1.0,180,0.4092,6.3759,93.6241,2,0.9728,fast opportunist
semi-arid,1.0,185,0.3658,5.8069,94.1931,2,0.9567,fast opportunist
semi-arid,1.0,190,0.3046,5.181,94.819,1,0.9294,fast opportunist
semi-arid,1.0,195,0.2574,4.6933,95.3067,1,0.9014,fast opportunist
semi-arid,1.0,200,0.2469,4.2654,95.7346,1,0.8747,fast opportunist
semi-arid,1.0,205,0.2701,3.8341,96.1659,1,0.8509,fast opportunist
semi-arid,1.0,210,0.3017,3.4005,96.5995,1,0.83,fast opportunist
semi-arid,1.0,215,0.3135,3.0264,96.9736,1,0.8122,fast opportunist
semi-arid,1.0,220,0.2957,2.6829,97.3171,1,0.7937,fast opportunist
semi-arid,1.0,225,0.2649,2.4094,97.5906,1,0.7755,fast opportunist
semi-arid,1.0,230,0.2507,2.1758,97.8242,1,0.7581,fast opportunist
semi-arid,1.0,235,0.2735,1.9439,98.0561,1,0.743,fast opportunist
semi-arid,1.0,240,0.3284,1.7345,98.2655,1,0.7333,fast opportunist
semi-arid,1.0,245,0.3879,1.5836,98.4164,1,0.7342,fast opportunist
semi-arid,1.0,250,0.4217,1.4648,98.5352,1,0.7427,fast opportunist
