ssa_drones,repeater_drones,total_drones,purchase_cost_aud,capability_safety_score,economics_penalty,objective_score
11,2,13,130000,1.0,0.013,0.987
11,3,14,140000,1.0,0.014,0.986
12,2,14,140000,1.0,0.014,0.986
10,2,12,120000,0.9977,0.012,0.9857
13,2,15,150000,1.0,0.015,0.985
11,4,15,150000,1.0,0.015,0.985
12,3,15,150000,1.0,0.015,0.985
10,3,13,130000,0.9977,0.013,0.9847
9,2,11,110000,0.9954,0.011,0.9844
13,3,16,160000,1.0,0.016,0.984
12,4,16,160000,1.0,0.016,0.984
14,2,16,160000,1.0,0.016,0.984
11,5,16,160000,1.0,0.016,0.984
10,4,14,140000,0.9977,0.014,0.9837
9,3,12,120000,0.9954,0.012,0.9834
11,6,17,170000,1.0,0.017,0.983
14,3,17,170000,1.0,0.017,0.983
8,2,10,100000,0.993,0.01,0.983
13,4,17,170000,1.0,0.017,0.983
12,5,17,170000,1.0,0.017,0.983
15,2,17,170000,1.0,0.017,0.983
10,5,15,150000,0.9977,0.015,0.9827
9,4,13,130000,0.9954,0.013,0.9824
14,4,18,180000,1.0,0.018,0.982
16,2,18,180000,1.0,0.018,0.982
12,6,18,180000,1.0,0.018,0.982
11,7,18,180000,1.0,0.018,0.982
8,3,11,110000,0.993,0.011,0.982
13,5,18,180000,1.0,0.018,0.982
15,3,18,180000,1.0,0.018,0.982
10,6,16,160000,0.9977,0.016,0.9817
7,2,9,90000,0.9906,0.009,0.9816
9,5,14,140000,0.9954,0.014,0.9814
14,5,19,190000,1.0,0.019,0.981
17,2,19,190000,1.0,0.019,0.981
8,4,12,120000,0.993,0.012,0.981
11,8,19,190000,1.0,0.019,0.981
12,7,19,190000,1.0,0.019,0.981
16,3,19,190000,1.0,0.019,0.981
13,6,19,190000,1.0,0.019,0.981
15,4,19,190000,1.0,0.019,0.981
10,7,17,170000,0.9977,0.017,0.9807
7,3,10,100000,0.9906,0.01,0.9806
9,6,15,150000,0.9954,0.015,0.9804
6,2,8,80000,0.9883,0.008,0.9803
