artist_id,artist_name,main_genre,active_start,out_degree,in_degree,pagerank,mean_follower_feature_distance,feature_link_count,revolutionary_score
617196,Brian Eno,Pop/Rock,1970,135,15,0.0002198747,4.917926,135.0,0.977773
346336,Pink Floyd,Pop/Rock,1960,142,16,0.0001258841,3.715158,142.0,0.953067
423829,Miles Davis,Jazz,1940,160,16,0.000185042,3.500365,160.0,0.942815
175553,John Coltrane,Jazz,1940,118,15,0.0001469792,3.619001,118.0,0.942731
91650,Black Flag,Pop/Rock,1970,93,18,0.0001622362,3.384994,93.0,0.918361
937003,My Bloody Valentine,Pop/Rock,1980,51,18,0.0001606991,3.826274,51.0,0.910357
755156,Sonic Youth,Pop/Rock,1980,71,38,0.0003276058,3.236479,71.0,0.907731
211758,Charlie Parker,Jazz,1930,95,8,0.0001446102,3.450395,95.0,0.899958
76057,King Crimson,Pop/Rock,1960,50,14,0.000130761,4.413811,50.0,0.899811
490004,Ramones,Pop/Rock,1970,127,33,0.0005681892,3.052471,127.0,0.898613
336783,Nick Drake,Pop/Rock,1960,60,14,0.0002007603,3.459488,60.0,0.88979
745964,The Allman Brothers Band,Pop/Rock,1960,53,17,0.0001557105,3.47108,53.0,0.888887
104714,Kraftwerk,Electronic,1970,108,8,0.0001045702,3.183642,108.0,0.884286
446509,Metallica,Pop/Rock,1980,112,29,0.0003151287,2.920706,112.0,0.874391
645612,Can,Pop/Rock,1960,51,10,0.0001204419,3.954883,51.0,0.870945
487186,Suicide,Pop/Rock,1970,42,16,0.000228285,3.64227,42.0,0.866387
642542,Burt Bacharach,Pop/Rock,1950,63,13,0.0002193047,3.201926,62.0,0.863824
530745,Bruce Springsteen,Pop/Rock,1970,70,24,0.0001898227,2.963903,70.0,0.859958
418740,Sex Pistols,Pop/Rock,1970,153,23,0.0001821943,2.836872,153.0,0.859076
769444,Bj̦rk,Pop/Rock,1970,43,22,0.0004820381,3.219358,43.0,0.8575
