main_genre,year_min,year_max,year_count,danceability_slope_per_year,danceability_change_1921_2020,energy_slope_per_year,energy_change_1921_2020,valence_slope_per_year,valence_change_1921_2020,tempo_slope_per_year,tempo_change_1921_2020,loudness_slope_per_year,loudness_change_1921_2020,acousticness_slope_per_year,acousticness_change_1921_2020,instrumentalness_slope_per_year,instrumentalness_change_1921_2020
Country,1930,2020,81,0.00039228,0.035305,0.00510168,0.459151,-0.00130886,-0.117797,0.08234446,7.411001,0.08852863,7.967577,-0.0082735,-0.744615,-0.00082789,-0.07451
Pop/Rock,1925,2020,76,0.00028059,0.026656,0.00397957,0.378059,-0.00259899,-0.246904,0.17815824,16.925032,0.08042179,7.64007,-0.0083611,-0.794304,-0.00063506,-0.06033
Latin,1939,2020,78,0.002285,0.185085,0.00443588,0.359306,-0.00010422,-0.008442,0.12579292,10.189227,0.09574466,7.755318,-0.0085915,-0.695911,-0.00353205,-0.286096
R&B;,1927,2020,78,0.00210223,0.195507,0.00365762,0.340159,-0.00047797,-0.044452,0.05426066,5.046241,0.07739827,7.198039,-0.00862034,-0.801692,-0.00076307,-0.070966
Reggae,1931,2020,67,0.00357238,0.317942,0.00357091,0.317811,0.00204273,0.181803,0.08171575,7.272702,0.07143271,6.357511,-0.00816169,-0.72639,-0.00527914,-0.469844
International,1930,2017,79,0.00130258,0.113324,0.0035231,0.30651,-0.00182366,-0.158658,0.08970943,7.80472,0.0252278,2.194819,-0.00962757,-0.837599,-0.00176636,-0.153673
Vocal,1924,2019,91,-0.00025868,-0.024575,0.0020721,0.19685,-0.00074462,-0.070739,0.045612,4.33314,0.03407825,3.237433,-0.00336469,-0.319646,-0.00063218,-0.060058
Folk,1943,2014,62,0.00011477,0.008149,0.00244118,0.173324,-0.0013115,-0.093116,0.16944352,12.03049,0.08597356,6.104123,-0.00276518,-0.196328,-0.00025575,-0.018158
Jazz,1924,2019,90,0.00018485,0.017561,0.00169225,0.160764,-0.00228562,-0.217134,-0.11445949,-10.873652,0.02229061,2.117608,-0.00563398,-0.535228,-0.00200538,-0.190511
Classical,1921,2018,82,-0.00105452,-0.102289,-0.00085455,-0.082891,-0.00266497,-0.258502,0.04141156,4.016921,-0.10168689,-9.863628,-0.00054088,-0.052465,0.00376021,0.36474
