year,selected_country,health_score,access_equity,affordability,funding_stability,innovation_renewal
0,Brazil,0.4844,0.48,0.54,0.42,0.46
1,Brazil,0.4948,0.506,0.5682,0.42,0.4697
2,Brazil,0.5097,0.532,0.5964,0.4386,0.4794
3,Brazil,0.5262,0.558,0.6246,0.4572,0.4891
4,Brazil,0.5427,0.584,0.6528,0.4758,0.4988
5,Brazil,0.5545,0.584,0.6809,0.4944,0.5085
6,Brazil,0.5618,0.584,0.6809,0.513,0.5181
7,Brazil,0.5667,0.584,0.6809,0.5316,0.5278
8,Brazil,0.5694,0.584,0.6809,0.5316,0.5375
9,Brazil,0.5705,0.584,0.6809,0.5316,0.5472
10,Brazil,0.5717,0.584,0.6809,0.5316,0.5569
