course,rider,wind_mps,total_time_min,time_change_s_vs_calm,energy_budget_margin_kj
2021 Olympic Time Trial course in Tokyo,male time trial specialist,-3.0,39.495,-158.68,3403.77
2021 Olympic Time Trial course in Tokyo,male time trial specialist,0.0,42.14,0.0,3343.62
2021 Olympic Time Trial course in Tokyo,male time trial specialist,2.0,44.069,115.74,3299.73
2021 Olympic Time Trial course in Tokyo,male time trial specialist,5.0,47.237,305.8,3227.64
2021 Olympic Time Trial course in Tokyo,male time trial specialist,8.0,50.767,517.63,3147.28
2021 UCI World Championship time trial course in Flanders,male time trial specialist,-3.0,43.214,-270.33,3352.42
2021 UCI World Championship time trial course in Flanders,male time trial specialist,0.0,47.72,0.0,3254.21
2021 UCI World Championship time trial course in Flanders,male time trial specialist,2.0,51.157,206.24,3179.33
2021 UCI World Championship time trial course in Flanders,male time trial specialist,5.0,57.078,561.48,3050.4
2021 UCI World Championship time trial course in Flanders,male time trial specialist,8.0,64.07,981.03,2898.22
