forest,plan,year,live_carbon_t_per_ha,soil_carbon_t_per_ha,product_carbon_t_per_ha,substitution_credit_t_carbon_per_ha,total_co2e_t_per_ha
temperate mixed hardwood community forest,no_harvest,0,118.0,82.0,0.0,0.0,733.3333
temperate mixed hardwood community forest,no_harvest,1,119.7567,82.0176,0.0,0.0,739.8391
temperate mixed hardwood community forest,no_harvest,2,121.5028,82.035,0.0,0.0,746.3056
temperate mixed hardwood community forest,no_harvest,3,123.2375,82.0524,0.0,0.0,752.7296
temperate mixed hardwood community forest,no_harvest,4,124.96,82.0696,0.0,0.0,759.1085
temperate mixed hardwood community forest,no_harvest,5,126.6695,82.0867,0.0,0.0,765.4395
temperate mixed hardwood community forest,no_harvest,6,128.3654,82.1037,0.0,0.0,771.7199
temperate mixed hardwood community forest,no_harvest,7,130.047,82.1205,0.0,0.0,777.9473
temperate mixed hardwood community forest,no_harvest,8,131.7136,82.1371,0.0,0.0,784.1194
temperate mixed hardwood community forest,no_harvest,9,133.3647,82.1536,0.0,0.0,790.2338
temperate mixed hardwood community forest,no_harvest,10,134.9996,82.17,0.0,0.0,796.2884
temperate mixed hardwood community forest,no_harvest,11,136.6178,82.1862,0.0,0.0,802.2811
temperate mixed hardwood community forest,no_harvest,12,138.2188,82.2022,0.0,0.0,808.2102
temperate mixed hardwood community forest,no_harvest,13,139.8021,82.218,0.0,0.0,814.0738
temperate mixed hardwood community forest,no_harvest,14,141.3673,82.2337,0.0,0.0,819.8702
temperate mixed hardwood community forest,no_harvest,15,142.9139,82.2491,0.0,0.0,825.5979
temperate mixed hardwood community forest,no_harvest,16,144.4416,82.2644,0.0,0.0,831.2556
temperate mixed hardwood community forest,no_harvest,17,145.9501,82.2795,0.0,0.0,836.8418
temperate mixed hardwood community forest,no_harvest,18,147.4389,82.2944,0.0,0.0,842.3555
temperate mixed hardwood community forest,no_harvest,19,148.9079,82.3091,0.0,0.0,847.7956
temperate mixed hardwood community forest,no_harvest,20,150.3567,82.3236,0.0,0.0,853.161
temperate mixed hardwood community forest,no_harvest,21,151.7852,82.3379,0.0,0.0,858.4511
temperate mixed hardwood community forest,no_harvest,22,153.1931,82.3519,0.0,0.0,863.665
temperate mixed hardwood community forest,no_harvest,23,154.5802,82.3658,0.0,0.0,868.8021
temperate mixed hardwood community forest,no_harvest,24,155.9465,82.3795,0.0,0.0,873.862
temperate mixed hardwood community forest,no_harvest,25,157.2918,82.3929,0.0,0.0,878.8441
temperate mixed hardwood community forest,no_harvest,26,158.6161,82.4062,0.0,0.0,883.7482
temperate mixed hardwood community forest,no_harvest,27,159.9192,82.4192,0.0,0.0,888.574
temperate mixed hardwood community forest,no_harvest,28,161.2011,82.432,0.0,0.0,893.3214
temperate mixed hardwood community forest,no_harvest,29,162.4618,82.4446,0.0,0.0,897.9903
temperate mixed hardwood community forest,no_harvest,30,163.7014,82.457,0.0,0.0,902.5808
temperate mixed hardwood community forest,no_harvest,31,164.9198,82.4692,0.0,0.0,907.0929
temperate mixed hardwood community forest,no_harvest,32,166.117,82.4812,0.0,0.0,911.5268
temperate mixed hardwood community forest,no_harvest,33,167.2933,82.4929,0.0,0.0,915.8828
temperate mixed hardwood community forest,no_harvest,34,168.4486,82.5045,0.0,0.0,920.1612
temperate mixed hardwood community forest,no_harvest,35,169.583,82.5158,0.0,0.0,924.3624
temperate mixed hardwood community forest,no_harvest,36,170.6967,82.527,0.0,0.0,928.4868
temperate mixed hardwood community forest,no_harvest,37,171.7898,82.5379,0.0,0.0,932.5349
temperate mixed hardwood community forest,no_harvest,38,172.8624,82.5486,0.0,0.0,936.5072
temperate mixed hardwood community forest,no_harvest,39,173.9148,82.5591,0.0,0.0,940.4045
temperate mixed hardwood community forest,no_harvest,40,174.947,82.5695,0.0,0.0,944.2272
temperate mixed hardwood community forest,no_harvest,41,175.9594,82.5796,0.0,0.0,947.9762
temperate mixed hardwood community forest,no_harvest,42,176.952,82.5895,0.0,0.0,951.6521
temperate mixed hardwood community forest,no_harvest,43,177.9251,82.5993,0.0,0.0,955.2558
temperate mixed hardwood community forest,no_harvest,44,178.8788,82.6088,0.0,0.0,958.7879
temperate mixed hardwood community forest,no_harvest,45,179.8135,82.6181,0.0,0.0,962.2495
temperate mixed hardwood community forest,no_harvest,46,180.7294,82.6273,0.0,0.0,965.6412
temperate mixed hardwood community forest,no_harvest,47,181.6267,82.6363,0.0,0.0,968.9641
temperate mixed hardwood community forest,no_harvest,48,182.5056,82.6451,0.0,0.0,972.2189
temperate mixed hardwood community forest,no_harvest,49,183.3664,82.6537,0.0,0.0,975.4068
temperate mixed hardwood community forest,no_harvest,50,184.2093,82.6621,0.0,0.0,978.5285
temperate mixed hardwood community forest,no_harvest,51,185.0347,82.6703,0.0,0.0,981.5852
temperate mixed hardwood community forest,no_harvest,52,185.8427,82.6784,0.0,0.0,984.5776
temperate mixed hardwood community forest,no_harvest,53,186.6337,82.6863,0.0,0.0,987.507
temperate mixed hardwood community forest,no_harvest,54,187.408,82.6941,0.0,0.0,990.3742
temperate mixed hardwood community forest,no_harvest,55,188.1657,82.7017,0.0,0.0,993.1802
temperate mixed hardwood community forest,no_harvest,56,188.9072,82.7091,0.0,0.0,995.9261
temperate mixed hardwood community forest,no_harvest,57,189.6327,82.7163,0.0,0.0,998.613
temperate mixed hardwood community forest,no_harvest,58,190.3425,82.7234,0.0,0.0,1001.2417
temperate mixed hardwood community forest,no_harvest,59,191.0369,82.7304,0.0,0.0,1003.8134
temperate mixed hardwood community forest,no_harvest,60,191.7162,82.7372,0.0,0.0,1006.329
temperate mixed hardwood community forest,no_harvest,61,192.3806,82.7438,0.0,0.0,1008.7896
temperate mixed hardwood community forest,no_harvest,62,193.0305,82.7503,0.0,0.0,1011.1963
temperate mixed hardwood community forest,no_harvest,63,193.666,82.7567,0.0,0.0,1013.5499
temperate mixed hardwood community forest,no_harvest,64,194.2876,82.7629,0.0,0.0,1015.8516
temperate mixed hardwood community forest,no_harvest,65,194.8953,82.769,0.0,0.0,1018.1023
temperate mixed hardwood community forest,no_harvest,66,195.4895,82.7749,0.0,0.0,1020.303
temperate mixed hardwood community forest,no_harvest,67,196.0706,82.7807,0.0,0.0,1022.4547
temperate mixed hardwood community forest,no_harvest,68,196.6386,82.7864,0.0,0.0,1024.5583
temperate mixed hardwood community forest,no_harvest,69,197.194,82.7919,0.0,0.0,1026.615
temperate mixed hardwood community forest,no_harvest,70,197.7369,82.7974,0.0,0.0,1028.6255
temperate mixed hardwood community forest,no_harvest,71,198.2676,82.8027,0.0,0.0,1030.5909
temperate mixed hardwood community forest,no_harvest,72,198.7864,82.8079,0.0,0.0,1032.5122
temperate mixed hardwood community forest,no_harvest,73,199.2935,82.8129,0.0,0.0,1034.3901
temperate mixed hardwood community forest,no_harvest,74,199.7891,82.8179,0.0,0.0,1036.2256
temperate mixed hardwood community forest,no_harvest,75,200.2736,82.8227,0.0,0.0,1038.0197
temperate mixed hardwood community forest,no_harvest,76,200.747,82.8275,0.0,0.0,1039.7732
temperate mixed hardwood community forest,no_harvest,77,201.2098,82.8321,0.0,0.0,1041.487
temperate mixed hardwood community forest,no_harvest,78,201.6621,82.8366,0.0,0.0,1043.162
temperate mixed hardwood community forest,no_harvest,79,202.1041,82.841,0.0,0.0,1044.799
temperate mixed hardwood community forest,no_harvest,80,202.5361,82.8454,0.0,0.0,1046.3988
temperate mixed hardwood community forest,no_harvest,81,202.9583,82.8496,0.0,0.0,1047.9622
temperate mixed hardwood community forest,no_harvest,82,203.3709,82.8537,0.0,0.0,1049.4901
temperate mixed hardwood community forest,no_harvest,83,203.7741,82.8577,0.0,0.0,1050.9833
temperate mixed hardwood community forest,no_harvest,84,204.1681,82.8617,0.0,0.0,1052.4425
temperate mixed hardwood community forest,no_harvest,85,204.5531,82.8655,0.0,0.0,1053.8684
temperate mixed hardwood community forest,no_harvest,86,204.9294,82.8693,0.0,0.0,1055.2619
temperate mixed hardwood community forest,no_harvest,87,205.2971,82.873,0.0,0.0,1056.6237
temperate mixed hardwood community forest,no_harvest,88,205.6565,82.8766,0.0,0.0,1057.9545
temperate mixed hardwood community forest,no_harvest,89,206.0076,82.8801,0.0,0.0,1059.255
temperate mixed hardwood community forest,no_harvest,90,206.3508,82.8835,0.0,0.0,1060.5259
temperate mixed hardwood community forest,no_harvest,91,206.6862,82.8869,0.0,0.0,1061.7678
temperate mixed hardwood community forest,no_harvest,92,207.0139,82.8901,0.0,0.0,1062.9815
temperate mixed hardwood community forest,no_harvest,93,207.3342,82.8933,0.0,0.0,1064.1675
temperate mixed hardwood community forest,no_harvest,94,207.6471,82.8965,0.0,0.0,1065.3266
temperate mixed hardwood community forest,no_harvest,95,207.953,82.8995,0.0,0.0,1066.4593
temperate mixed hardwood community forest,no_harvest,96,208.2519,82.9025,0.0,0.0,1067.5662
temperate mixed hardwood community forest,no_harvest,97,208.544,82.9054,0.0,0.0,1068.648
temperate mixed hardwood community forest,no_harvest,98,208.8295,82.9083,0.0,0.0,1069.7052
temperate mixed hardwood community forest,no_harvest,99,209.1085,82.9111,0.0,0.0,1070.7384
temperate mixed hardwood community forest,no_harvest,100,209.3812,82.9138,0.0,0.0,1071.7482
temperate mixed hardwood community forest,selective_60_year,0,118.0,82.0,0.0,0.0,733.3333
temperate mixed hardwood community forest,selective_60_year,1,119.7567,82.0176,0.0,0.0,739.8391
temperate mixed hardwood community forest,selective_60_year,2,121.5028,82.035,0.0,0.0,746.3056
temperate mixed hardwood community forest,selective_60_year,3,123.2375,82.0524,0.0,0.0,752.7296
temperate mixed hardwood community forest,selective_60_year,4,124.96,82.0696,0.0,0.0,759.1085
temperate mixed hardwood community forest,selective_60_year,5,126.6695,82.0867,0.0,0.0,765.4395
temperate mixed hardwood community forest,selective_60_year,6,128.3654,82.1037,0.0,0.0,771.7199
temperate mixed hardwood community forest,selective_60_year,7,130.047,82.1205,0.0,0.0,777.9473
temperate mixed hardwood community forest,selective_60_year,8,131.7136,82.1371,0.0,0.0,784.1194
temperate mixed hardwood community forest,selective_60_year,9,133.3647,82.1536,0.0,0.0,790.2338
temperate mixed hardwood community forest,selective_60_year,10,134.9996,82.17,0.0,0.0,796.2884
temperate mixed hardwood community forest,selective_60_year,11,136.6178,82.1862,0.0,0.0,802.2811
temperate mixed hardwood community forest,selective_60_year,12,138.2188,82.2022,0.0,0.0,808.2102
temperate mixed hardwood community forest,selective_60_year,13,139.8021,82.218,0.0,0.0,814.0738
temperate mixed hardwood community forest,selective_60_year,14,141.3673,82.2337,0.0,0.0,819.8702
temperate mixed hardwood community forest,selective_60_year,15,142.9139,82.2491,0.0,0.0,825.5979
temperate mixed hardwood community forest,selective_60_year,16,144.4416,82.2644,0.0,0.0,831.2556
temperate mixed hardwood community forest,selective_60_year,17,145.9501,82.2795,0.0,0.0,836.8418
temperate mixed hardwood community forest,selective_60_year,18,147.4389,82.2944,0.0,0.0,842.3555
temperate mixed hardwood community forest,selective_60_year,19,148.9079,82.3091,0.0,0.0,847.7956
temperate mixed hardwood community forest,selective_60_year,20,150.3567,82.3236,0.0,0.0,853.161
temperate mixed hardwood community forest,selective_60_year,21,151.7852,82.3379,0.0,0.0,858.4511
temperate mixed hardwood community forest,selective_60_year,22,153.1931,82.3519,0.0,0.0,863.665
temperate mixed hardwood community forest,selective_60_year,23,154.5802,82.3658,0.0,0.0,868.8021
temperate mixed hardwood community forest,selective_60_year,24,155.9465,82.3795,0.0,0.0,873.862
temperate mixed hardwood community forest,selective_60_year,25,157.2918,82.3929,0.0,0.0,878.8441
temperate mixed hardwood community forest,selective_60_year,26,158.6161,82.4062,0.0,0.0,883.7482
temperate mixed hardwood community forest,selective_60_year,27,159.9192,82.4192,0.0,0.0,888.574
temperate mixed hardwood community forest,selective_60_year,28,161.2011,82.432,0.0,0.0,893.3214
temperate mixed hardwood community forest,selective_60_year,29,162.4618,82.4446,0.0,0.0,897.9903
temperate mixed hardwood community forest,selective_60_year,30,163.7014,82.457,0.0,0.0,902.5808
temperate mixed hardwood community forest,selective_60_year,31,164.9198,82.4692,0.0,0.0,907.0929
temperate mixed hardwood community forest,selective_60_year,32,166.117,82.4812,0.0,0.0,911.5268
temperate mixed hardwood community forest,selective_60_year,33,167.2933,82.4929,0.0,0.0,915.8828
temperate mixed hardwood community forest,selective_60_year,34,168.4486,82.5045,0.0,0.0,920.1612
temperate mixed hardwood community forest,selective_60_year,35,169.583,82.5158,0.0,0.0,924.3624
temperate mixed hardwood community forest,selective_60_year,36,170.6967,82.527,0.0,0.0,928.4868
temperate mixed hardwood community forest,selective_60_year,37,171.7898,82.5379,0.0,0.0,932.5349
temperate mixed hardwood community forest,selective_60_year,38,172.8624,82.5486,0.0,0.0,936.5072
temperate mixed hardwood community forest,selective_60_year,39,173.9148,82.5591,0.0,0.0,940.4045
temperate mixed hardwood community forest,selective_60_year,40,174.947,82.5695,0.0,0.0,944.2272
temperate mixed hardwood community forest,selective_60_year,41,175.9594,82.5796,0.0,0.0,947.9762
temperate mixed hardwood community forest,selective_60_year,42,176.952,82.5895,0.0,0.0,951.6521
temperate mixed hardwood community forest,selective_60_year,43,177.9251,82.5993,0.0,0.0,955.2558
