species_count,guild_mix,interval_years,severity_multiplier,pollution_load,habitat_quality,mean_biomass_last20,biomass_cv_last20,mean_persistence_ratio,drought_generation_biomass,viability_score,richness_alive_final,improvement_over_single_species_pct
1,balanced,7,1.0,0.1,0.92,0.599,0.0392,1.0,0.562,0.761,1,0.0
2,balanced,7,1.0,0.1,0.92,0.7259,0.0152,0.925,0.7093,0.8225,1,8.081
3,balanced,7,1.0,0.1,0.92,0.7121,0.0168,0.9167,0.6939,0.8121,2,6.715
4,balanced,7,1.0,0.1,0.92,0.7272,0.0134,0.75,0.7134,0.7821,3,2.773
5,balanced,7,1.0,0.1,0.92,0.7253,0.0138,0.6,0.7112,0.7449,3,-2.116
6,balanced,7,1.0,0.1,0.92,0.74,0.0101,0.6667,0.7293,0.7705,4,1.248
7,balanced,7,1.0,0.1,0.92,0.7382,0.0104,0.5714,0.7272,0.7465,4,-1.905
8,balanced,7,1.0,0.1,0.92,0.7508,0.01,0.625,0.74,0.7665,5,0.723
9,balanced,7,1.0,0.1,0.92,0.7559,0.0097,0.6667,0.7453,0.7795,6,2.431
10,balanced,7,1.0,0.1,0.92,0.7736,0.0079,0.7,0.7651,0.7981,7,4.875
11,balanced,7,1.0,0.1,0.92,0.7727,0.0079,0.6364,0.7642,0.7823,7,2.799
12,balanced,7,1.0,0.1,0.92,0.7893,0.0067,0.6375,0.7822,0.7924,7,4.126
