year,species_count_start,guild_mix,drought_stress,total_biomass,richness_alive,shannon_diversity,pollution_load,habitat_quality
1,1,balanced,0.64,0.7519,1,-0.0,0.1,0.92
2,1,balanced,0.3114,0.7123,1,-0.0,0.1,0.92
3,1,balanced,0.3388,0.67832,1,-0.0,0.1,0.92
4,1,balanced,0.3293,0.65691,1,-0.0,0.1,0.92
5,1,balanced,0.2874,0.65139,1,-0.0,0.1,0.92
6,1,balanced,0.2326,0.66012,1,-0.0,0.1,0.92
7,1,balanced,0.1907,0.67681,1,-0.0,0.1,0.92
8,1,balanced,0.5612,0.60698,1,-0.0,0.1,0.92
9,1,balanced,0.2086,0.63049,1,-0.0,0.1,0.92
10,1,balanced,0.44,0.59958,1,-0.0,0.1,0.92
11,1,balanced,0.3114,0.6022,1,-0.0,0.1,0.92
12,1,balanced,0.3388,0.59829,1,-0.0,0.1,0.92
13,1,balanced,0.7093,0.52726,1,-0.0,0.1,0.92
14,1,balanced,0.2874,0.54842,1,-0.0,0.1,0.92
15,1,balanced,0.6126,0.50964,1,-0.0,0.1,0.92
16,1,balanced,0.1907,0.55124,1,-0.0,0.1,0.92
17,1,balanced,0.1812,0.58953,1,-0.0,0.1,0.92
18,1,balanced,0.2086,0.61622,1,-0.0,0.1,0.92
19,1,balanced,0.26,0.62651,1,-0.0,0.1,0.92
20,1,balanced,0.3114,0.62293,1,-0.0,0.1,0.92
21,1,balanced,0.3388,0.61405,1,-0.0,0.1,0.92
22,1,balanced,0.8893,0.50397,1,-0.0,0.1,0.92
23,1,balanced,0.2874,0.52859,1,-0.0,0.1,0.92
24,1,balanced,0.2326,0.55998,1,-0.0,0.1,0.92
25,1,balanced,0.1907,0.59513,1,-0.0,0.1,0.92
26,1,balanced,0.1812,0.6267,1,-0.0,0.1,0.92
27,1,balanced,0.2086,0.64634,1,-0.0,0.1,0.92
28,1,balanced,0.26,0.64985,1,-0.0,0.1,0.92
29,1,balanced,0.6914,0.56367,1,-0.0,0.1,0.92
30,1,balanced,0.7188,0.50243,1,-0.0,0.1,0.92
31,1,balanced,0.3293,0.51966,1,-0.0,0.1,0.92
32,1,balanced,0.2874,0.542,1,-0.0,0.1,0.92
33,1,balanced,0.2326,0.57147,1,-0.0,0.1,0.92
34,1,balanced,0.3707,0.5681,1,-0.0,0.1,0.92
35,1,balanced,0.1812,0.60398,1,-0.0,0.1,0.92
36,1,balanced,0.5886,0.55312,1,-0.0,0.1,0.92
37,1,balanced,0.26,0.57543,1,-0.0,0.1,0.92
38,1,balanced,0.3114,0.58314,1,-0.0,0.1,0.92
39,1,balanced,0.3388,0.58352,1,-0.0,0.1,0.92
40,1,balanced,0.3293,0.58582,1,-0.0,0.1,0.92
41,1,balanced,0.2874,0.59648,1,-0.0,0.1,0.92
42,1,balanced,0.2326,0.61675,1,-0.0,0.1,0.92
43,1,balanced,0.5707,0.56521,1,-0.0,0.1,0.92
44,1,balanced,0.1812,0.60152,1,-0.0,0.1,0.92
45,1,balanced,0.2086,0.62604,1,-0.0,0.1,0.92
46,1,balanced,0.44,0.59639,1,-0.0,0.1,0.92
47,1,balanced,0.6914,0.52924,1,-0.0,0.1,0.92
48,1,balanced,0.3388,0.54027,1,-0.0,0.1,0.92
49,1,balanced,0.3293,0.55114,1,-0.0,0.1,0.92
50,1,balanced,0.6674,0.50245,1,-0.0,0.1,0.92
51,1,balanced,0.2326,0.53721,1,-0.0,0.1,0.92
52,1,balanced,0.1907,0.57551,1,-0.0,0.1,0.92
53,1,balanced,0.1812,0.61026,1,-0.0,0.1,0.92
54,1,balanced,0.2086,0.63315,1,-0.0,0.1,0.92
55,1,balanced,0.26,0.63971,1,-0.0,0.1,0.92
56,1,balanced,0.3114,0.63289,1,-0.0,0.1,0.92
57,1,balanced,0.7188,0.54773,1,-0.0,0.1,0.92
58,1,balanced,0.5093,0.52633,1,-0.0,0.1,0.92
59,1,balanced,0.2874,0.54763,1,-0.0,0.1,0.92
60,1,balanced,0.2326,0.57625,1,-0.0,0.1,0.92
61,1,balanced,0.1907,0.60891,1,-0.0,0.1,0.92
62,1,balanced,0.1812,0.63807,1,-0.0,0.1,0.92
63,1,balanced,0.2086,0.65535,1,-0.0,0.1,0.92
64,1,balanced,0.64,0.57733,1,-0.0,0.1,0.92
65,1,balanced,0.3114,0.58466,1,-0.0,0.1,0.92
66,1,balanced,0.3388,0.58471,1,-0.0,0.1,0.92
67,1,balanced,0.3293,0.58675,1,-0.0,0.1,0.92
68,1,balanced,0.2874,0.59723,1,-0.0,0.1,0.92
69,1,balanced,0.2326,0.61735,1,-0.0,0.1,0.92
70,1,balanced,0.3707,0.6031,1,-0.0,0.1,0.92
71,1,balanced,0.5612,0.55752,1,-0.0,0.1,0.92
72,1,balanced,0.2086,0.58944,1,-0.0,0.1,0.92
73,1,balanced,0.26,0.6052,1,-0.0,0.1,0.92
74,1,balanced,0.3114,0.60657,1,-0.0,0.1,0.92
75,1,balanced,0.3388,0.60164,1,-0.0,0.1,0.92
76,1,balanced,0.3293,0.59993,1,-0.0,0.1,0.92
77,1,balanced,0.2874,0.60768,1,-0.0,0.1,0.92
78,1,balanced,0.6126,0.55123,1,-0.0,0.1,0.92
79,1,balanced,0.1907,0.58763,1,-0.0,0.1,0.92
80,1,balanced,0.1812,0.62045,1,-0.0,0.1,0.92
1,2,balanced,0.64,0.82283,2,0.69315,0.1,0.92
2,2,balanced,0.3114,0.78273,2,0.68943,0.1,0.92
3,2,balanced,0.3388,0.74973,2,0.68646,0.1,0.92
4,2,balanced,0.3293,0.72814,2,0.6826,0.1,0.92
5,2,balanced,0.2874,0.71984,2,0.67847,0.1,0.92
6,2,balanced,0.2326,0.72313,2,0.67483,0.1,0.92
7,2,balanced,0.1907,0.73303,2,0.67213,0.1,0.92
8,2,balanced,0.5612,0.68464,2,0.67013,0.1,0.92
9,2,balanced,0.2086,0.69957,2,0.65822,0.1,0.92
10,2,balanced,0.44,0.67745,2,0.65582,0.1,0.92
11,2,balanced,0.3114,0.67817,2,0.64618,0.1,0.92
12,2,balanced,0.3388,0.67482,2,0.64036,0.1,0.92
13,2,balanced,0.7093,0.62914,2,0.6333,0.1,0.92
14,2,balanced,0.2874,0.64324,2,0.61143,0.1,0.92
15,2,balanced,0.6126,0.61844,2,0.60627,0.1,0.92
16,2,balanced,0.1907,0.64735,2,0.58712,0.1,0.92
17,2,balanced,0.1812,0.67344,2,0.58562,0.1,0.92
18,2,balanced,0.2086,0.69159,2,0.58386,0.1,0.92
19,2,balanced,0.26,0.69916,2,0.5804,0.1,0.92
20,2,balanced,0.3114,0.6979,2,0.57432,0.1,0.92
21,2,balanced,0.3388,0.69318,2,0.56568,0.1,0.92
22,2,balanced,0.8893,0.6304,2,0.55566,0.1,0.92
23,2,balanced,0.2874,0.64593,2,0.51693,0.1,0.92
24,2,balanced,0.2326,0.66606,2,0.51059,0.1,0.92
25,2,balanced,0.1907,0.68855,2,0.50632,0.1,0.92
26,2,balanced,0.1812,0.70871,2,0.50343,0.1,0.92
27,2,balanced,0.2086,0.72162,2,0.50039,0.1,0.92
28,2,balanced,0.26,0.72494,2,0.49556,0.1,0.92
29,2,balanced,0.6914,0.67929,2,0.48794,0.1,0.92
30,2,balanced,0.7188,0.64426,2,0.45785,0.1,0.92
31,2,balanced,0.3293,0.65373,2,0.42808,0.1,0.92
32,2,balanced,0.2874,0.66683,2,0.41933,0.1,0.92
33,2,balanced,0.2326,0.68458,2,0.41235,0.1,0.92
34,2,balanced,0.3707,0.68247,2,0.40757,0.1,0.92
35,2,balanced,0.1812,0.70424,2,0.39584,0.1,0.92
36,2,balanced,0.5886,0.67835,2,0.39302,0.1,0.92
37,2,balanced,0.26,0.69126,2,0.37038,0.1,0.92
38,2,balanced,0.3114,0.69566,2,0.36429,0.1,0.92
39,2,balanced,0.3388,0.69598,2,0.35561,0.1,0.92
40,2,balanced,0.3293,0.69757,2,0.34568,0.1,0.92
41,2,balanced,0.2874,0.70416,2,0.33631,0.1,0.92
42,2,balanced,0.2326,0.7164,2,0.32887,0.1,0.92
43,2,balanced,0.5707,0.69169,2,0.32367,0.1,0.92
44,2,balanced,0.1812,0.71244,2,0.30362,0.1,0.92
45,2,balanced,0.2086,0.72643,2,0.30095,0.1,0.92
46,2,balanced,0.44,0.71185,2,0.29678,0.1,0.92
47,2,balanced,0.6914,0.67896,2,0.28298,0.1,0.92
48,2,balanced,0.3388,0.68367,2,0.25965,0.1,0.92
49,2,balanced,0.3293,0.68875,2,0.25185,0.1,0.92
50,2,balanced,0.6674,0.66441,2,0.24447,0.1,0.92
51,2,balanced,0.2326,0.68378,2,0.225,0.1,0.92
52,2,balanced,0.1907,0.70497,2,0.2217,0.1,0.92
53,2,balanced,0.1812,0.72394,2,0.21941,0.1,0.92
54,2,balanced,0.2086,0.73647,2,0.21706,0.1,0.92
55,2,balanced,0.26,0.74048,2,0.21355,0.1,0.92
56,2,balanced,0.3114,0.73745,2,0.20825,0.1,0.92
57,2,balanced,0.7188,0.69872,2,0.20137,0.1,0.92
58,2,balanced,0.5093,0.68648,2,0.18185,0.1,0.92
59,2,balanced,0.2874,0.69662,2,0.17086,0.1,0.92
60,2,balanced,0.2326,0.71127,2,0.16648,0.1,0.92
61,2,balanced,0.1907,0.72834,2,0.16343,0.1,0.92
62,2,balanced,0.1812,0.74365,2,0.16126,0.1,0.92
63,2,balanced,0.2086,0.75297,2,0.15911,0.1,0.92
64,2,balanced,0.64,0.7184,2,0.15611,0.1,0.92
65,2,balanced,0.3114,0.72037,2,0.14215,0.1,0.92
66,2,balanced,0.3388,0.71885,2,0.13744,0.1,0.92
67,2,balanced,0.3293,0.71877,2,0.13223,0.1,0.92
68,2,balanced,0.2874,0.72358,2,0.12742,0.1,0.92
69,2,balanced,0.2326,0.73389,2,0.12363,0.1,0.92
70,2,balanced,0.3707,0.72653,2,0.12097,0.1,0.92
