year,tourism_revenue_index,community_revenue_share,community_revenue_index,local_opportunity_cost_index,net_community_benefit_index
1,1.0012,0.1426,0.1428,0.2562,-0.1134
2,1.0026,0.1452,0.1456,0.2525,-0.1069
3,1.0042,0.1478,0.1484,0.2488,-0.1004
4,1.0058,0.1504,0.1513,0.2451,-0.0939
5,1.0077,0.153,0.1542,0.2416,-0.0874
6,1.0096,0.1556,0.1571,0.238,-0.0809
7,1.0117,0.1582,0.1601,0.2346,-0.0745
8,1.014,0.1608,0.1631,0.2311,-0.0681
9,1.0164,0.1634,0.1661,0.2278,-0.0617
10,1.019,0.166,0.1692,0.2244,-0.0553
11,1.0217,0.1686,0.1723,0.2212,-0.0489
12,1.0246,0.1712,0.1754,0.2179,-0.0425
13,1.0276,0.1738,0.1786,0.2148,-0.0362
14,1.0307,0.1764,0.1818,0.2116,-0.0298
15,1.034,0.179,0.1851,0.2085,-0.0234
16,1.0373,0.1816,0.1884,0.2055,-0.0171
17,1.0405,0.1842,0.1917,0.2025,-0.0108
18,1.0438,0.1868,0.195,0.1995,-0.0045
19,1.0471,0.1894,0.1983,0.1966,0.0017
20,1.0504,0.192,0.2017,0.1937,0.0079
