make,variant,length_ft,geographic_region,country_region_state,listing_price_usd,year,hull_type,age_years,make_variant,variant_observation_count,log_price
Alubat,Ovni 395,41.0,Europe,France,267233,2005,monohull,15,Alubat Ovni 395,3.0,12.495876216012773
Bavaria,38 Cruiser,38.0,Europe,Croatia,75178,2005,monohull,15,Bavaria 38 Cruiser,11.0,11.227613913944408
Bavaria,38 Cruiser,38.0,Europe,Croatia,66825,2005,monohull,15,Bavaria 38 Cruiser,11.0,11.109832541007119
Bavaria,38 Cruiser,38.0,Europe,Croatia,54661,2005,monohull,15,Bavaria 38 Cruiser,11.0,10.908905754228723
Bavaria,38 Cruiser,38.0,Europe,Croatia,53447,2005,monohull,15,Bavaria 38 Cruiser,11.0,10.886445787656298
Bavaria,38 Cruiser,38.0,Europe,Greece,91101,2005,monohull,15,Bavaria 38 Cruiser,11.0,11.419724060136211
Bavaria,39 Cruiser,39.0,Europe,Greece,66748,2005,monohull,15,Bavaria 39 Cruiser,23.0,11.108679613266794
Bavaria,42 Match,41.0,Europe,Croatia,78945,2005,monohull,15,Bavaria 42 Match,4.0,11.276506686455988
Bavaria,42 Match,41.0,Europe,Croatia,58297,2005,monohull,15,Bavaria 42 Match,4.0,10.97330591303859
Bavaria,42 Cruiser,42.0,Europe,Croatia,112906,2005,monohull,15,Bavaria 42 Cruiser,11.0,11.634310893101194
Bavaria,42 Cruiser,42.0,Europe,Italy,95961,2005,monohull,15,Bavaria 42 Cruiser,11.0,11.471697137908086
Bavaria,42 Cruiser,42.0,Europe,Italy,94746,2005,monohull,15,Bavaria 42 Cruiser,11.0,11.458954905694698
Bavaria,42 Cruiser,42.0,Europe,Italy,91102,2005,monohull,15,Bavaria 42 Cruiser,11.0,11.419735036903884
Bavaria,Cruiser 46,46.0,Europe,Croatia,101063,2005,monohull,15,Bavaria Cruiser 46,76.0,11.523499363740743
Bavaria,Cruiser 46,46.0,Europe,Croatia,91106,2005,monohull,15,Bavaria Cruiser 46,76.0,11.419778942769714
Bavaria,Cruiser 46,46.0,Europe,Croatia,84907,2005,monohull,15,Bavaria Cruiser 46,76.0,11.349311818841736
Bavaria,Cruiser 46,46.0,Europe,Croatia,84786,2005,monohull,15,Bavaria Cruiser 46,76.0,11.3478857138108
Bavaria,Cruiser 46,46.0,Europe,Greece,133651,2005,monohull,15,Bavaria Cruiser 46,76.0,11.802987203768778
Bavaria,Cruiser 46,46.0,Europe,Greece,109338,2005,monohull,15,Bavaria Cruiser 46,76.0,11.60219928071411
Bavaria,Cruiser 46,46.0,Europe,Greece,105705,2005,monohull,15,Bavaria Cruiser 46,76.0,11.568407474429232
Bavaria,Cruiser 46,46.0,Europe,Greece,103253,2005,monohull,15,Bavaria Cruiser 46,76.0,11.544937566091244
Bavaria,Cruiser 46,46.0,Europe,Greece,96933,2005,monohull,15,Bavaria Cruiser 46,76.0,11.481775297177933
Bavaria,Cruiser 46,46.0,Europe,Italy,115396,2005,monohull,15,Bavaria Cruiser 46,76.0,11.656124970410334
