date,word,expected_attempts,difficulty_class,group
2022-09-16,PARER,5.99,hard,hardest_words
2022-10-23,MUMMY,5.475248,hard,hardest_words
2022-08-02,COYLY,5.40404,hard,hardest_words
2022-04-19,FOYER,5.30303,hard,hardest_words
2022-12-26,JUDGE,5.232323,hard,hardest_words
2022-06-29,GAWKY,5.131313,hard,hardest_words
2022-02-19,SWILL,5.08,hard,hardest_words
2022-07-06,FLUFF,4.98,hard,hardest_words
2022-03-11,WATCH,4.96,hard,hardest_words
2022-10-07,DANDY,4.95,hard,hardest_words
2022-07-26,CINCH,4.910891,hard,hardest_words
2022-07-20,TRITE,4.91,hard,hardest_words
2022-05-04,TRAIN,3.131313,easy,easiest_words
2022-04-22,PLANT,3.336634,easy,easiest_words
2022-04-09,STAIR,3.386139,easy,easiest_words
2022-12-20,THIRD,3.435644,easy,easiest_words
2022-11-26,CLEN,3.45,easy,easiest_words
2022-04-29,TASH,3.46,easy,easiest_words
2022-12-19,SLATE,3.464646,easy,easiest_words
2022-11-09,RAINY,3.475248,easy,easiest_words
2022-08-06,ALIEN,3.484848,easy,easiest_words
2022-08-20,TREAT,3.485149,easy,easiest_words
2022-01-19,POINT,3.505051,easy,easiest_words
2022-02-22,THORN,3.505051,easy,easiest_words
