sdg,name,category,pagerank,betweenness,out_strength,direct_need_index,priority_score
1,No Poverty,social,0.03465,0.15417,3.35,0.64,0.5962
17,Partnerships to achieve the Goal,governance,0.06004,0.19167,1.48,0.54,0.5429
10,Reduced Inequality,social,0.06337,0.10417,1.02,0.64,0.5346
15,Life on Land,environment,0.17171,0.0,0.0,0.58,0.525
13,Climate Action,environment,0.10951,0.01667,1.3,0.58,0.5219
4,Quality Education,social,0.02953,0.06667,2.22,0.64,0.4956
3,Good Health and Well-being,social,0.02932,0.0625,2.11,0.64,0.4927
16,Peace and Justice Strong Institutions,governance,0.05015,0.16667,0.76,0.54,0.4892
12,Responsible Consumption and Production,environment,0.04811,0.06667,1.79,0.58,0.4815
8,Decent Work and Economic Growth,economic,0.04506,0.1,1.32,0.5,0.4753
11,Sustainable Cities and Communities,infrastructure,0.09241,0.0375,0.97,0.5,0.4544
6,Clean Water and Sanitation,environment,0.04525,0.04167,1.53,0.58,0.451
2,Zero Hunger,social,0.02374,0.00417,2.28,0.64,0.428
14,Life Below Water,environment,0.09047,0.0,0.37,0.58,0.426
5,Gender Equality,social,0.03088,0.01667,1.18,0.64,0.4156
9,"Industry, Innovation and Infrastructure",infrastructure,0.05839,0.0125,0.96,0.5,0.3863
7,Affordable and Clean Energy,infrastructure,0.01741,0.0,2.47,0.5,0.3413
