sdg,name,post_achievement_pagerank
15,SDG 15: Life on Land,0.17286
13,SDG 13: Climate Action,0.1132
14,SDG 14: Life Below Water,0.09142
11,SDG 11: Sustainable Cities and Communities,0.09054
17,SDG 17: Partnerships to achieve the Goal,0.06058
9,"SDG 9: Industry, Innovation and Infrastructure",0.06037
10,SDG 10: Reduced Inequality,0.05828
16,SDG 16: Peace and Justice Strong Institutions,0.05186
6,SDG 6: Clean Water and Sanitation,0.04759
12,SDG 12: Responsible Consumption and Production,0.04687
8,SDG 8: Decent Work and Economic Growth,0.04208
4,SDG 4: Quality Education,0.03058
5,SDG 5: Gender Equality,0.02961
3,SDG 3: Good Health and Well-being,0.02595
1,SDG 1: No Poverty,0.0243
2,SDG 2: Zero Hunger,0.02094
7,SDG 7: Affordable and Clean Energy,0.0165
18,SDG 18: Digital Public Trust and Resilience,0.0165
