resource_index,male_ratio,female_ratio,mating_success_index
0.0,0.78,0.22,0.6864
0.05,0.769,0.231,0.7106
0.1,0.758,0.242,0.7337
0.15,0.747,0.253,0.756
0.2,0.736,0.264,0.7772
0.25,0.725,0.275,0.7975
0.3,0.714,0.286,0.8168
0.35,0.703,0.297,0.8352
0.4,0.692,0.308,0.8525
0.45,0.681,0.319,0.869
0.5,0.67,0.33,0.8844
0.55,0.659,0.341,0.8989
0.6,0.648,0.352,0.9124
0.65,0.637,0.363,0.9249
0.7,0.626,0.374,0.9365
0.75,0.615,0.385,0.9471
0.8,0.604,0.396,0.9567
0.85,0.593,0.407,0.9654
0.9,0.582,0.418,0.9731
0.95,0.571,0.429,0.9798
1.0,0.56,0.44,0.9856
