resource_index,lamprey_reduction_pressure,mean_male_ratio,mean_lamprey,mean_host_fish,state_volatility,host_damage_index,ecosystem_stability_score
0.0,0.0,0.7732,0.8962,0.0501,0.0377,0.7699,0.2854
0.0,0.1,0.7732,0.8109,0.0843,0.0154,0.7357,0.3157
0.0,0.2,0.7732,0.7256,0.1554,0.0049,0.6646,0.3429
0.0,0.3,0.7732,0.6403,0.2499,0.0042,0.5701,0.3842
0.0,0.4,0.7732,0.555,0.3596,0.0035,0.4604,0.4342
0.0,0.5,0.7732,0.4698,0.4767,0.002,0.3433,0.4829
0.1,0.0,0.758,0.9828,0.05,0.0028,0.77,0.2791
0.1,0.1,0.758,0.9012,0.05,0.0339,0.77,0.2828
0.1,0.2,0.758,0.8196,0.0777,0.0189,0.7423,0.3132
0.1,0.3,0.758,0.738,0.1426,0.0069,0.6774,0.3379
0.1,0.4,0.758,0.6563,0.23,0.0052,0.59,0.3753
0.1,0.5,0.758,0.5747,0.3329,0.0047,0.4871,0.4222
0.2,0.0,0.736,1.0958,0.05,0.0029,0.77,0.2749
0.2,0.1,0.736,1.0188,0.05,0.0028,0.77,0.278
0.2,0.2,0.736,0.9417,0.05,0.0027,0.77,0.2801
0.2,0.3,0.736,0.8647,0.0539,0.0338,0.7661,0.2977
0.2,0.4,0.736,0.7877,0.0994,0.0127,0.7206,0.3218
0.2,0.5,0.736,0.7106,0.169,0.005,0.651,0.349
0.3,0.0,0.714,1.1966,0.05,0.0031,0.77,0.2696
0.3,0.1,0.714,1.1233,0.05,0.003,0.77,0.2736
0.3,0.2,0.714,1.05,0.05,0.0029,0.77,0.2768
0.3,0.3,0.714,0.9767,0.05,0.0027,0.77,0.2792
0.3,0.4,0.714,0.9034,0.05,0.0272,0.77,0.2814
0.3,0.5,0.714,0.8301,0.0699,0.0223,0.7501,0.3098
0.4,0.0,0.692,1.2882,0.05,0.0032,0.77,0.2634
0.4,0.1,0.692,1.2179,0.05,0.0031,0.77,0.2682
0.4,0.2,0.692,1.1477,0.05,0.003,0.77,0.2723
0.4,0.3,0.692,1.0775,0.05,0.0029,0.77,0.2757
0.4,0.4,0.692,1.0073,0.05,0.0028,0.77,0.2783
0.4,0.5,0.692,0.9371,0.05,0.0026,0.77,0.2802
0.5,0.0,0.67,1.3729,0.05,0.0033,0.77,0.2568
0.5,0.1,0.67,1.3052,0.05,0.0032,0.77,0.2622
0.5,0.2,0.67,1.2376,0.05,0.0031,0.77,0.267
0.5,0.3,0.67,1.1699,0.05,0.003,0.77,0.2711
0.5,0.4,0.67,1.1022,0.05,0.0029,0.77,0.2746
0.5,0.5,0.67,1.0345,0.05,0.0028,0.77,0.2774
0.6,0.0,0.648,1.3986,0.05,0.0005,0.77,0.2552
0.6,0.1,0.648,1.3839,0.05,0.0031,0.77,0.2559
0.6,0.2,0.648,1.3214,0.05,0.0032,0.77,0.261
0.6,0.3,0.648,1.2558,0.05,0.0031,0.77,0.2657
0.6,0.4,0.648,1.1902,0.05,0.003,0.77,0.2699
0.6,0.5,0.648,1.1246,0.05,0.0029,0.77,0.2735
0.7,0.0,0.626,1.4,0.05,0.0,0.77,0.2552
0.7,0.1,0.626,1.3997,0.05,0.0002,0.77,0.2552
0.7,0.2,0.626,1.3888,0.05,0.0026,0.77,0.2556
0.7,0.3,0.626,1.337,0.05,0.0033,0.77,0.2597
0.7,0.4,0.626,1.2731,0.05,0.0032,0.77,0.2645
0.7,0.5,0.626,1.2092,0.05,0.003,0.77,0.2688
0.8,0.0,0.604,1.4,0.05,0.0,0.77,0.2552
0.8,0.1,0.604,1.4,0.05,0.0,0.77,0.2552
0.8,0.2,0.604,1.4,0.05,0.0,0.77,0.2552
0.8,0.3,0.604,1.3924,0.05,0.002,0.77,0.2554
0.8,0.4,0.604,1.3522,0.05,0.0033,0.77,0.2585
0.8,0.5,0.604,1.2897,0.05,0.0032,0.77,0.2633
0.9,0.0,0.582,1.4,0.05,0.0,0.77,0.2552
0.9,0.1,0.582,1.4,0.05,0.0,0.77,0.2552
0.9,0.2,0.582,1.4,0.05,0.0,0.77,0.2552
0.9,0.3,0.582,1.4,0.05,0.0,0.77,0.2552
0.9,0.4,0.582,1.3956,0.05,0.0014,0.77,0.2553
0.9,0.5,0.582,1.3673,0.05,0.0033,0.77,0.2573
1.0,0.0,0.5668,1.4,0.05,0.0,0.77,0.2552
1.0,0.1,0.5668,1.4,0.05,0.0,0.77,0.2552
1.0,0.2,0.5668,1.4,0.05,0.0,0.77,0.2552
1.0,0.3,0.5668,1.4,0.05,0.0,0.77,0.2552
1.0,0.4,0.5668,1.4,0.05,0.0,0.77,0.2552
1.0,0.5,0.5668,1.3979,0.05,0.0008,0.77,0.2552
