feature,coefficient
abs_momentum,-0.6064941416612238
momentum_p1,-0.10100790713514833
p2_unf_err,-0.05319128299173015
serve_no,0.05208638598748096
server_is_p1,0.05066101148521411
speed_mph,0.042079397776832686
rally_count,0.03249761478125239
momentum_delta,0.0312977240243816
p2_break_pt,0.027459887221075223
distance_diff,0.020708094808703018
p2_winner,0.020356509357601575
score_pressure,0.01832684303229873
p1_winner,-0.010482964816712938
p1_break_pt,-0.00830740190239934
p1_unf_err,0.006009682287699285
