component,kind,units,year,month,month_name,date,value
Lake Superior,level_m,meters,2000,1,Jan,2000-01-01,183.16
Lake Superior,level_m,meters,2000,2,Feb,2000-02-01,183.08
Lake Superior,level_m,meters,2000,3,Mar,2000-03-01,183.08
Lake Superior,level_m,meters,2000,4,Apr,2000-04-01,183.12
Lake Superior,level_m,meters,2000,5,May,2000-05-01,183.16
Lake Superior,level_m,meters,2000,6,Jun,2000-06-01,183.24
Lake Superior,level_m,meters,2000,7,Jul,2000-07-01,183.33
Lake Superior,level_m,meters,2000,8,Aug,2000-08-01,183.31
Lake Superior,level_m,meters,2000,9,Sep,2000-09-01,183.27
Lake Superior,level_m,meters,2000,10,Oct,2000-10-01,183.2
Lake Superior,level_m,meters,2000,11,Nov,2000-11-01,183.15
Lake Superior,level_m,meters,2000,12,Dec,2000-12-01,183.06
Lake Superior,level_m,meters,2001,1,Jan,2001-01-01,182.98
Lake Superior,level_m,meters,2001,2,Feb,2001-02-01,182.94
Lake Superior,level_m,meters,2001,3,Mar,2001-03-01,182.91
Lake Superior,level_m,meters,2001,4,Apr,2001-04-01,183.01
Lake Superior,level_m,meters,2001,5,May,2001-05-01,183.24
Lake Superior,level_m,meters,2001,6,Jun,2001-06-01,183.33
Lake Superior,level_m,meters,2001,7,Jul,2001-07-01,183.36
Lake Superior,level_m,meters,2001,8,Aug,2001-08-01,183.39
Lake Superior,level_m,meters,2001,9,Sep,2001-09-01,183.37
Lake Superior,level_m,meters,2001,10,Oct,2001-10-01,183.3
Lake Superior,level_m,meters,2001,11,Nov,2001-11-01,183.29
Lake Superior,level_m,meters,2001,12,Dec,2001-12-01,183.3
Lake Superior,level_m,meters,2002,1,Jan,2002-01-01,183.22
Lake Superior,level_m,meters,2002,2,Feb,2002-02-01,183.14
Lake Superior,level_m,meters,2002,3,Mar,2002-03-01,183.11
Lake Superior,level_m,meters,2002,4,Apr,2002-04-01,183.14
Lake Superior,level_m,meters,2002,5,May,2002-05-01,183.26
Lake Superior,level_m,meters,2002,6,Jun,2002-06-01,183.31
Lake Superior,level_m,meters,2002,7,Jul,2002-07-01,183.36
Lake Superior,level_m,meters,2002,8,Aug,2002-08-01,183.4
Lake Superior,level_m,meters,2002,9,Sep,2002-09-01,183.42
Lake Superior,level_m,meters,2002,10,Oct,2002-10-01,183.44
Lake Superior,level_m,meters,2002,11,Nov,2002-11-01,183.36
Lake Superior,level_m,meters,2002,12,Dec,2002-12-01,183.26
Lake Superior,level_m,meters,2003,1,Jan,2003-01-01,183.16
Lake Superior,level_m,meters,2003,2,Feb,2003-02-01,183.07
Lake Superior,level_m,meters,2003,3,Mar,2003-03-01,183.03
Lake Superior,level_m,meters,2003,4,Apr,2003-04-01,183.08
Lake Superior,level_m,meters,2003,5,May,2003-05-01,183.18
Lake Superior,level_m,meters,2003,6,Jun,2003-06-01,183.23
Lake Superior,level_m,meters,2003,7,Jul,2003-07-01,183.26
Lake Superior,level_m,meters,2003,8,Aug,2003-08-01,183.29
Lake Superior,level_m,meters,2003,9,Sep,2003-09-01,183.27
Lake Superior,level_m,meters,2003,10,Oct,2003-10-01,183.26
Lake Superior,level_m,meters,2003,11,Nov,2003-11-01,183.23
Lake Superior,level_m,meters,2003,12,Dec,2003-12-01,183.19
Lake Superior,level_m,meters,2004,1,Jan,2004-01-01,183.14
Lake Superior,level_m,meters,2004,2,Feb,2004-02-01,183.07
Lake Superior,level_m,meters,2004,3,Mar,2004-03-01,183.07
Lake Superior,level_m,meters,2004,4,Apr,2004-04-01,183.13
Lake Superior,level_m,meters,2004,5,May,2004-05-01,183.23
Lake Superior,level_m,meters,2004,6,Jun,2004-06-01,183.35
Lake Superior,level_m,meters,2004,7,Jul,2004-07-01,183.4
Lake Superior,level_m,meters,2004,8,Aug,2004-08-01,183.42
Lake Superior,level_m,meters,2004,9,Sep,2004-09-01,183.46
Lake Superior,level_m,meters,2004,10,Oct,2004-10-01,183.47
Lake Superior,level_m,meters,2004,11,Nov,2004-11-01,183.46
Lake Superior,level_m,meters,2004,12,Dec,2004-12-01,183.38
Lake Superior,level_m,meters,2005,1,Jan,2005-01-01,183.32
Lake Superior,level_m,meters,2005,2,Feb,2005-02-01,183.27
Lake Superior,level_m,meters,2005,3,Mar,2005-03-01,183.22
Lake Superior,level_m,meters,2005,4,Apr,2005-04-01,183.26
Lake Superior,level_m,meters,2005,5,May,2005-05-01,183.31
Lake Superior,level_m,meters,2005,6,Jun,2005-06-01,183.39
Lake Superior,level_m,meters,2005,7,Jul,2005-07-01,183.42
