lake,month,target_m,low_band_m,high_band_m,historical_min_m,historical_max_m
Lake Erie,1,174.04,173.885,174.33499999999998,173.75,174.8
Lake Erie,2,174.07,173.89,174.385,173.73,174.9
Lake Erie,3,174.26,173.98000000000002,174.44,173.78,174.95
Lake Erie,4,174.31,174.14,174.595,173.95,175.05
Lake Erie,5,174.35,174.215,174.66,174.04,175.08
Lake Erie,6,174.36,174.255,174.645,174.09,175.14
Lake Erie,7,174.35,174.25,174.68,174.03,175.13
Lake Erie,8,174.29,174.18,174.585,173.94,175.02
Lake Erie,9,174.24,174.08,174.48000000000002,173.83,174.87
Lake Erie,10,174.08,173.985,174.335,173.8,174.74
Lake Erie,11,174.07,173.88,174.255,173.8,174.68
Lake Erie,12,174.02,173.86,174.3,173.81,174.68
Lake Michigan and Lake Huron,1,176.0,175.875,176.54,175.57,177.26
Lake Michigan and Lake Huron,2,175.96,175.85500000000002,176.51999999999998,175.61,177.24
Lake Michigan and Lake Huron,3,176.0,175.9,176.53,175.63,177.22
Lake Michigan and Lake Huron,4,176.06,175.95,176.66,175.75,177.29
Lake Michigan and Lake Huron,5,176.19,176.055,176.775,175.92,177.37
Lake Michigan and Lake Huron,6,176.29,176.12,176.82,176.0,177.44
Lake Michigan and Lake Huron,7,176.33,176.135,176.825,176.04,177.45
Lake Michigan and Lake Huron,8,176.32,176.13,176.805,175.97,177.42
Lake Michigan and Lake Huron,9,176.24,176.065,176.745,175.86,177.34
Lake Michigan and Lake Huron,10,176.14,176.005,176.64499999999998,175.74,177.28
Lake Michigan and Lake Huron,11,176.07,175.95,176.57,175.68,177.26
Lake Michigan and Lake Huron,12,176.05,175.905,176.54000000000002,175.61,177.24
Lake Ontario,1,74.63,74.535,74.815,74.33,75.05
Lake Ontario,2,74.75,74.535,74.87,74.29,75.12
Lake Ontario,3,74.82,74.57499999999999,74.95,74.35,75.18
Lake Ontario,4,74.92,74.82499999999999,75.11500000000001,74.62,75.35
Lake Ontario,5,75.1,74.92,75.225,74.71,75.8
Lake Ontario,6,75.13,75.005,75.24000000000001,74.71,75.91
Lake Ontario,7,75.09,74.96000000000001,75.16,74.79,75.8
Lake Ontario,8,74.95,74.845,75.03999999999999,74.65,75.53
Lake Ontario,9,74.78,74.695,74.81,74.5,75.24
Lake Ontario,10,74.61,74.565,74.685,74.34,75.04
Lake Ontario,11,74.51,74.465,74.61,74.29,75.04
Lake Ontario,12,74.53,74.47,74.66499999999999,74.28,75.0
Lake St. Clair,1,174.94,174.68,175.185,174.48,175.8
Lake St. Clair,2,174.85,174.635,175.12,174.44,175.79
Lake St. Clair,3,174.91,174.765,175.305,174.53,175.83
Lake St. Clair,4,174.99,174.885,175.435,174.73,175.91
Lake St. Clair,5,175.08,174.98,175.5,174.79,175.98
Lake St. Clair,6,175.12,174.99,175.53,174.89,176.02
Lake St. Clair,7,175.15,175.04000000000002,175.54500000000002,174.89,176.04
Lake St. Clair,8,175.12,175.015,175.49,174.81,175.97
Lake St. Clair,9,175.07,174.92,175.415,174.75,175.88
Lake St. Clair,10,174.89,174.82999999999998,175.29,174.6,175.77
Lake St. Clair,11,174.85,174.70999999999998,175.165,174.56,175.71
Lake St. Clair,12,174.87,174.72500000000002,175.125,174.54,175.68
Lake Superior,1,183.22,183.11,183.505,182.92,183.71
Lake Superior,2,183.14,183.05,183.445,182.83,183.64
Lake Superior,3,183.11,183.0,183.40499999999997,182.79,183.57
Lake Superior,4,183.14,183.04500000000002,183.425,182.85,183.62
Lake Superior,5,183.24,183.17000000000002,183.5,182.87,183.77
Lake Superior,6,183.33,183.25,183.58499999999998,182.94,183.84
Lake Superior,7,183.4,183.32,183.655,183.0,183.86
Lake Superior,8,183.42,183.305,183.66,183.01,183.86
Lake Superior,9,183.42,183.27,183.695,183.02,183.86
Lake Superior,10,183.44,183.235,183.64,183.12,183.88
Lake Superior,11,183.36,183.20499999999998,183.595,183.04,183.81
Lake Superior,12,183.3,183.15,183.57999999999998,182.98,183.74
