lake,control_flow,year,month,date,level_m,target_m,deviation_m,historical_median_flow_cms,recommended_flow_cms,recommended_change_cms,q10_flow_cms,q90_flow_cms
Lake Superior,St. Mary's River,2000,1,2000-01-01,183.16,183.22,-0.060000000000002274,2050.4226648861377,1996.4226648861356,-54.000000000002046,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2000,2,2000-02-01,183.08,183.14,-0.05999999999997385,2002.000861862311,1948.0008618623347,-53.99999999997635,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2000,3,2000-03-01,183.08,183.11,-0.030000000000001137,1992.9394718227645,1965.9394718227636,-27.00000000000091,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2000,4,2000-04-01,183.12,183.14,-0.01999999999998181,1966.7463912397002,1948.7463912397166,-17.99999999998363,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2000,5,2000-05-01,183.16,183.24,-0.0800000000000125,2147.9741920306305,2075.974192030619,-72.00000000001137,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2000,6,2000-06-01,183.24,183.33,-0.09000000000000341,2411.7455927130554,2330.7455927130522,-81.00000000000318,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2000,7,2000-07-01,183.33,183.4,-0.06999999999999318,2500.094145598634,2437.0941455986404,-62.99999999999363,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2000,8,2000-08-01,183.31,183.42,-0.10999999999998522,2619.8743951838896,2520.874395183903,-98.99999999998681,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2000,9,2000-09-01,183.27,183.42,-0.14999999999997726,2547.3832748675177,2412.383274867538,-134.99999999997954,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2000,10,2000-10-01,183.2,183.44,-0.2400000000000091,2580.5139821996095,2364.5139821996013,-216.00000000000819,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2000,11,2000-11-01,183.15,183.36,-0.21000000000000796,2308.95544945195,2119.9554494519425,-189.00000000000728,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2000,12,2000-12-01,183.06,183.3,-0.2400000000000091,2176.007867465478,1960.0078674654696,-216.00000000000819,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2001,1,2001-01-01,182.98,183.22,-0.2400000000000091,2050.4226648861377,1834.4226648861295,-216.00000000000819,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2001,2,2001-02-01,182.94,183.14,-0.19999999999998863,2002.000861862311,1822.0008618623212,-179.99999999998977,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2001,3,2001-03-01,182.91,183.11,-0.20000000000001705,1992.9394718227645,1812.939471822749,-180.00000000001546,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2001,4,2001-04-01,183.01,183.14,-0.12999999999999545,1966.7463912397002,1849.7463912397043,-116.99999999999591,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2001,5,2001-05-01,183.24,183.24,0.0,2147.9741920306305,2147.9741920306305,0.0,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2001,6,2001-06-01,183.33,183.33,0.0,2411.7455927130554,2411.7455927130554,0.0,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2001,7,2001-07-01,183.36,183.4,-0.03999999999999204,2500.094145598634,2464.0941455986413,-35.999999999992724,1800.1867155752857,3030.751799789578
Lake Superior,St. Mary's River,2001,8,2001-08-01,183.39,183.42,-0.030000000000001137,2619.8743951838896,2592.8743951838887,-27.00000000000091,1760.514817308396,3059.3518121018965
Lake Superior,St. Mary's River,2001,9,2001-09-01,183.37,183.42,-0.04999999999998295,2547.3832748675177,2502.383274867533,-44.99999999998454,1626.434561566981,2750.5849465043484
Lake Superior,St. Mary's River,2001,10,2001-10-01,183.3,183.44,-0.13999999999998636,2580.5139821996095,2454.5139821996218,-125.99999999998772,1489.097868780104,2854.1962782377886
Lake Superior,St. Mary's River,2001,11,2001-11-01,183.29,183.36,-0.0700000000000216,2308.95544945195,2245.9554494519302,-63.000000000019554,1535.395908513412,2848.6178599946925
Lake Superior,St. Mary's River,2001,12,2001-12-01,183.3,183.3,0.0,2176.007867465478,2176.007867465478,0.0,1518.5757032525037,2467.6147256756344
Lake Superior,St. Mary's River,2002,1,2002-01-01,183.22,183.22,0.0,2050.4226648861377,2050.4226648861377,0.0,1503.9358949698612,2452.748382642004
Lake Superior,St. Mary's River,2002,2,2002-02-01,183.14,183.14,0.0,2002.000861862311,2002.000861862311,0.0,1437.7594308372982,2451.21927307283
Lake Superior,St. Mary's River,2002,3,2002-03-01,183.11,183.11,0.0,1992.9394718227645,1992.9394718227645,0.0,1349.8073137659496,2487.436516387143
Lake Superior,St. Mary's River,2002,4,2002-04-01,183.14,183.14,0.0,1966.7463912397002,1966.7463912397002,0.0,1479.4135081753386,2343.1905136951113
Lake Superior,St. Mary's River,2002,5,2002-05-01,183.26,183.24,0.01999999999998181,2147.9741920306305,2165.974192030614,17.99999999998363,1484.5105400725836,2394.189149511434
Lake Superior,St. Mary's River,2002,6,2002-06-01,183.31,183.33,-0.020000000000010232,2411.7455927130554,2393.7455927130463,-18.000000000009095,1567.8186947486643,2624.206872296548
Lake Superior,St. Mary's River,2002,7,2002-07-01,183.36,183.4,-0.03999999999999204,2500.094145598634,2464.0941455986413,-35.999999999992724,1800.1867155752857,3030.751799789578
