wear_rate_mm_per_100k_passages,daily_users,estimated_age_years,within_historical_prior
0.025,120,397.0,True
0.025,200,238.2,False
0.025,320,148.9,False
0.025,500,95.3,False
0.025,750,63.5,False
0.025,900,52.9,False
0.035,120,283.6,True
0.035,200,170.1,False
0.035,320,106.3,False
0.035,500,68.1,False
0.035,750,45.4,False
0.035,900,37.8,False
0.045,120,220.5,False
0.045,200,132.3,False
0.045,320,82.7,False
0.045,500,52.9,False
0.045,750,35.3,False
0.045,900,29.4,False
0.06,120,165.4,False
0.06,200,99.2,False
0.06,320,62.0,False
0.06,500,39.7,False
0.06,750,26.5,False
0.06,900,22.1,False
0.075,120,132.3,False
0.075,200,79.4,False
0.075,320,49.6,False
0.075,500,31.8,False
0.075,750,21.2,False
0.075,900,17.6,False
